"","1_P1-100-0.22","1_P1-20-0.22","1_P1-200-0.22","1_P1-40-0.22","1_P1-60-0.22","2_P1-100-0.22","2_P1-20-0.22","2_P1-200-0.22","2_P1-40-0.22","2_P1-60-0.22","3_P1-20-0.22","3_P1-200-0.22","3_P1-40-0.22","3_P1-60-0.22","4_P1-90-0.22","4_P1-20-0.22","4_P1-100-0.22","4_P1-200-0.22","4_P1-40-0.22","4_P1-60-0.22","5_P1-20-0.22","3_P1-90-0.22","5_P1-100-0.22","5_P1-200-0.22","5_P1-40-0.22","5_P1-90-0.22","6_P1-100-0.22","6_P1-20-0.22","6_P1-200-0.22","6_P1-40-0.22","6_P1-60-0.22","7_P1-20-0.22","7_P1-40-0.22","7_P1-60-0.22","10_P1-20-0.22","10_P1-40-0.22","7_P1-105-0.22","7_P1-200-0.22","8_P1-100-0.22","8_P1-115-0.22","8_P1-20-0.22","8_P1-200-0.22","8_P1-40-0.22","8_P1-60-0.22","9_P1-100-0.22","9_P1-120-0.22","9_P1-20-0.22","9_P1-200-0.22","9_P1-40-0.22","9_P1-60-0.22","10_P1-100-0.22","10_P1-120-0.22","10_P1-200-0.22","10_P1-60-0.22","11_P1-100-0.22","11_P1-20-0.22","11_P1-200-0.22","11_P1-40-0.22","11_P1-60-0.22","11_P1-70-0.22","12_P1-100-0.22","12_P1-20-0.22","12_P1-200-0.22","12_P1-40-0.22","12_P1-60-0.22","13_P1-100-0.22","13_P1-20-0.22","13_P1-200-0.22","13_P1-40-0.22","13_P1-60-0.22","14_P1-100-0.22","14_P1-20-0.22","14_P1-200-0.22","14_P1-40-0.22","14_P1-60-0.22","6_P2-20-0.22","12_P2-100-0.22","12_P2-20-0.22","12_P2-200-0.22","12_P2-40-0.22","12_P2-60-0.22","15_P2-100-0.22","15_P2-20-0.22","15_P2-200-0.22","15_P2-40-0.22","15_P2-60-0.22","17_P2-100-0.22","17_P2-20-0.22","17_P2-200-0.22","17_P2-40-0.22","17_P2-60-0.22","17_2_P2-20-0.22","6_P2-100-0.22","6_P2-200-0.22","6_P2-40-0.22","6_P2-60-0.22","8_P2-100-0.22","8_2_P2-100-0.22","8_P2-20-0.22","8_P2-200-0.22","8_P2-40-0.22","8_P2-60-0.22","20_P2-100-0.22","20_P2-20-0.22","20_P2-200-0.22","20_P2-40-0.22","20_P2-60-0.22"
"1_P1-100-0.22",0,4.1238931641444,0.893346670750774,5.45730515724622,3.70465822683334,-0.513110668055772,-1.58210167306557,-0.786383000994962,-1.71122347860602,-0.266256448978297,2.97041379938261,-1.49814064622992,-1.41443643218307,-0.130676274973295,2.59017621261818,1.86224513110966,-1.88389070811561,-1.93579123980098,2.70274905861485,3.39641481907574,3.26349689203242,-1.97939769360031,0.598389355128737,3.70027141881177,-1.49537402691649,1.52623952949646,-1.78238783303426,1.56337920622398,3.35393790302336,-2.44303898211708,-2.19926968125717,2.80759128859746,-1.55936027542168,-1.55626871023006,6.86129992032151,0.363678292884095,-0.824157506086575,-1.40691017552698,2.9272809377181,4.5042640779422,3.08606560833204,0.150331618523761,1.89410430767055,2.16194129057151,-0.538905866829822,-1.21859895283604,5.76170750634949,0.0250239860122049,5.40646710540884,4.15952605079229,1.20707646983774,0.366087677425565,-0.306207626064785,0.590064705449186,1.02029560762921,-0.546473192334866,1.19536232664465,-0.782627935592704,-1.01817054886597,2.36546424746063,0.561024252748776,-1.22119122812699,-0.901743302932284,-0.534416053491946,-0.797376857384222,-1.53361547905167,-0.57587301290962,-1.43909842983169,-0.963323184175368,-1.02829693723128,0.555264251654863,0.990408631647122,-2.06842757972029,-1.40916504308809,-1.32649289170588,6.19237927411019,-0.355438216597815,-1.10449397646697,0.650387701626016,2.58234781553721,-0.760481264117899,-1.08616379928529,1.47355600157254,-0.726618787126503,3.50613772229247,-1.42822252008129,-1.15988930087879,5.96613843151787,-2.04437368155095,3.50820231611387,1.48451868706926,2.21085267557679,1.09377261718173,0.389904339207985,3.59549836417819,6.66411173512746,0.144468760781053,0.470431718567395,4.90862931512243,2.19116091239108,4.12084429710822,2.29931931276569,-1.34645433532728,2.1994111848691,-0.601181662801525,2.00496017005548,-1.10916545484553
"1_P1-20-0.22",4.1238931641444,0,11.8408806702717,-2.37281778168072,-1.33545295538569,-0.914002716243046,-0.945339832154713,4.90184519498079,-0.389457630852686,-0.917143555873694,-1.88033327358598,7.89502409031342,-1.63284065072072,-0.812586860997863,-2.21140250911923,-0.576580414462455,-1.97307508587054,3.06353798555237,-1.37867897666863,-1.66364001528924,-1.40702018168939,-1.53564053793583,-1.9735187139497,8.0392184509113,-1.40405736135016,-2.02701193296325,2.65559246833183,-1.90210069948495,6.3634432553729,-1.67143542030449,-0.959379283983979,-1.44564860197684,-1.61388757496053,-1.40232197129016,0.852340478870465,-0.723650479430557,-1.09535915706659,5.16254020292327,-0.85098145179644,-2.41766147641413,0.23231122060594,3.01718403117548,-0.924434286133475,-1.61694548908979,-0.947184740197948,-0.527264303217347,-0.586301053525522,5.02516058545239,-1.02501061406804,-1.2707329633138,-0.646211224163573,-1.54962136735819,7.08392607390442,-0.135651609011573,4.33438357337816,-1.82881132004726,10.9951797415117,-0.784522933341173,-0.768561048798507,3.165205057817,1.1576203876246,-1.68421278224116,3.27977044863889,-1.33998905220821,-1.18602738266577,2.1238674587865,-1.3927656844417,6.70558906407321,-1.04924732811421,-0.724232051267154,2.20456856458647,-2.01119191284729,2.4537830801161,-1.65169605176397,-1.89391222980047,1.63019766714363,2.37097129289235,-1.88822456999827,10.6319780862472,-2.02331620080834,-1.17109107102713,-0.578266190235755,-2.05271624874447,7.67020041758832,-2.05259771409375,-2.31583540762438,-0.930394880576759,-1.56508207780032,1.89243487001421,1.76681491710129,-1.98407564368659,2.60134998047003,-1.64575130220042,1.72992355431752,0.270711243128125,-1.518786118242,-1.1813983487244,-1.11976134506036,1.23454870068471,4.19737107403156,-0.802973779572536,-1.85729836302763,0.921020552411764,-2.33044505858911,5.00004306318202,-2.36716883186589,-2.26742143793568
"1_P1-200-0.22",0.893346670750774,11.8408806702717,0,10.0060014272046,7.97221660170307,0.741137746179684,1.12275193051613,-2.36716543333409,-1.02383988018473,1.18396122115011,9.53971706021809,-0.777718219761378,0.329346510875802,0.839199332822793,10.5692829952318,8.6504262851718,-0.100516797664469,-1.93900631483511,10.8609561339895,11.3722987693468,9.72165735206477,-0.193073934808684,6.42244044210155,4.00142795953505,-0.767620761741739,6.69491726899509,-1.3445388676105,7.96487103581592,2.42382457278085,-1.20014670531029,-0.925485133667446,8.70308295789867,-0.813105995384115,-0.327287207181315,16.3783010507996,0.857047299801235,0.0917803849751298,-1.70448704845223,7.56737359073388,8.90279495727935,9.23829036310747,-1.04373802467486,7.48401639456087,7.79295972662904,0.752991095099354,-0.408757408583584,11.3218977477302,0.6748709094452,10.8851644636392,8.18545648019907,-0.314966194782766,2.80880775429331,-0.118442370880812,1.20036196790935,-0.51415991458528,1.02956838374969,1.53682260877586,1.11879390128638,0.391908489350602,2.3462075537456,1.7857250459441,1.32891601661206,0.376596849613514,0.571344558272926,0.950328017261568,-0.880148821899036,1.689570712296,-0.585302999982115,0.554083523719167,0.824493248714895,1.85292370879862,6.40894983542836,-1.09231504852948,-0.0425086576173726,0.352987621523111,14.3670637647614,-1.00068285740714,0.502629511596475,1.71485338373498,10.6241333932883,0.670477930586889,-0.827098480702904,8.34868015248625,-0.459927060535801,12.8419542066202,0.375078904669261,0.204659002651984,17.0700664095576,-1.38678667282306,11.703517487495,8.18142460472344,8.4941583831587,2.65101102735367,-0.299306117947484,11.4659048722316,13.3010758070781,1.17078570338855,2.64123697963458,12.7566701253439,1.76254326555988,12.7584854740354,9.69796951736701,-0.732266094020361,9.5093608194873,-0.467705758208666,9.90382458568258,0.83688560735073
"1_P1-40-0.22",5.45730515724622,-2.37281778168072,10.0060014272046,0,-2.77355548714221,-1.59238159884258,-2.25906690893818,4.19962435641171,-1.68780518952229,-2.13900749128385,-2.0197289414105,6.9162678395082,-2.15434095607118,-1.54700291444654,-2.28051064900657,-1.85428789477028,-2.20140403579475,2.35372380075279,-1.73269019124401,-1.91191571929325,-1.71142762959422,-1.96930304164978,-2.32001740221735,7.92937181813047,-1.74561368954328,-2.92932748712166,2.08243456132336,-2.14448218877402,5.81841793515085,-1.9515096305144,-1.44016455749899,-1.95836204483155,-2.23175370729626,-1.94827691505729,0.0788288138249018,-1.1145832821252,-1.83175737174784,4.10447035270118,-2.09154300898585,-2.42301126289075,-1.51507697324027,3.33045955561389,-1.97908417047509,-2.19488876997057,-1.10721703064409,-1.12504950925791,-1.05977627683894,3.44540933025666,-1.34739184087356,-1.59382325545371,-1.20044079010259,-2.31337683243453,5.81856229040502,-1.58376469962438,4.23933255106961,-2.50245390840366,10.1566313000869,-0.842096997319455,-0.842632608298928,3.22137341846732,1.06726459600742,-1.9494703301565,3.18799660484438,-1.5603007789359,-1.48042069280658,1.67061756764933,-1.64454235063998,5.94591460295416,-1.49912059918131,-1.15599535285184,1.91863394208395,-2.03353542860578,2.21883359093184,-1.7329696440239,-1.86962282935507,0.773435273763674,1.85350275979187,-2.30175134706488,9.73995653919664,-2.16306506371464,-1.6715177658038,-0.884658606383073,-2.58814805530885,6.85063257313953,-2.52033524258421,-2.54882453923889,-1.18996186331225,-1.67228807380073,1.44087160454957,1.44846569266834,-2.01476698690576,2.20396077821958,-1.72598219352722,1.34381602394676,-1.01764093504574,-2.79028078927436,-1.43878740038881,-1.44047037013864,0.207880442385147,3.43530808978399,-1.18638613405775,-1.91727627798289,0.38972984457513,-2.45687936512408,4.24721159265205,-2.47740995906201,-2.51503580566509
"1_P1-60-0.22",3.70465822683334,-1.33545295538569,7.97221660170307,-2.77355548714221,0,-1.97910180894466,-2.85225990909134,3.88883098360027,-2.48261786113097,-2.11564855232711,-2.85241080485972,7.22244436759333,-3.10134244018654,-2.26389752759384,-3.55680972576335,-3.1873988564691,-3.38630911848415,2.05356519645843,-2.55740807048888,-3.30427693269624,-2.60997952753576,-2.52016427618878,-3.49271329338437,8.94734024155455,-2.50098800507149,-3.29487284491513,1.79822371868745,-3.41179169328044,6.79025412687647,-2.99848653924882,-2.29221133413238,-3.1365499410534,-3.0483724284503,-2.91942059118162,-1.89836188239683,-3.36084207846118,-2.15928805723916,1.79373228144818,-3.24311643065633,-2.43349186257807,-3.0932576335838,3.2845799976894,-3.36058698686926,-3.04643974675331,-2.75910001826984,-2.88150574990386,-2.22461891214285,2.92626575425916,-2.97916730272194,-3.46991247028325,-1.52311827114738,-4.18894026610701,4.05850504925499,-2.42747302959492,3.5738579210418,-2.55016673034386,7.13493392733699,-1.55180447217482,-1.15270431386066,2.01235483787197,1.01960343594492,-2.65116547327369,2.74833345358291,-2.21844113224035,-2.22623719933542,1.50307879282656,-2.31413222040253,6.64341224293854,-2.31551514592107,-2.03254614713423,2.43286915489346,-2.52054699623287,1.55127945759279,-2.42477457953499,-2.58130008265347,1.54226715033312,2.21117403835175,-2.99287113440209,11.1657789510814,-2.86474799002356,-2.49865904610835,-1.70693927846925,-3.82717058029678,7.87159325366036,-3.45347071678192,-3.64883390462606,-1.65080887096623,-1.81210335090465,1.28521271601965,1.87147258339165,-2.73467781895175,2.59311932704136,-2.16765023088572,1.48343212075043,-1.11712006990891,-1.50103267216999,-2.15921210809412,-2.15623988805237,0.548576104072073,4.3753136445845,-1.09148449357115,-2.56207473178021,-0.163567852424779,-3.41254753503882,4.68481124793559,-3.43131546266892,-3.56887090148372
"2_P1-100-0.22",-0.513110668055772,-0.914002716243046,0.741137746179684,-1.59238159884258,-1.97910180894466,0,-3.81887820589631,-0.794652751259012,-4.04528916460134,-3.43178039823318,-1.5936428703723,-1.5179412367257,-2.71078262322396,-3.88452032019545,-2.8306941044796,-2.63110447617209,-3.1829958237153,-2.50960393882282,-2.43401394975644,-2.55107182723848,-1.87209168171892,-2.71098149230509,-3.59427924820719,2.7358976246195,-2.84440305419489,-2.93670097077811,-2.84876587540989,-2.8842758381726,2.33513955687146,-4.25089431627194,-3.218203039229,-2.14405290989325,-3.71047670493708,-3.41024728200781,1.95573677254478,-2.98929194628131,-2.23142147389003,-2.61370295419311,-2.19506821627702,-2.18379155489726,-2.2349587469089,-1.54320875783536,-1.50824937602625,-2.01600548749015,-4.0122629638849,-4.82397346864776,-1.26736040572559,-1.35924080262307,-2.1763508327446,-2.62864187506318,-3.76688322582752,-5.01638461938977,-2.65247131923783,-2.92399941274665,-3.11575530228313,-2.39110334698782,-2.30326520788998,-2.51042163948805,-4.67444019530541,-4.67811786652244,-1.96365697634392,-2.4593465482456,-3.80116918402051,-2.24430923827057,-2.61296057582889,-2.48715794777718,-1.87934974033413,-1.75274544473601,-2.68009619715705,-2.8411159661204,0.068851071855565,-1.91190716717015,-3.29627162067046,-2.30714502075155,-2.53113910918046,2.40873388409834,-3.39926123153375,-2.8151882935836,-0.0579871085980006,-2.07814101823806,-3.41212611040543,-2.9113702353786,-2.04799633474249,-0.841428092282283,-1.26254482485908,-2.84847689639838,-2.30043562531085,0.457943064570028,-2.5490838427787,0.625837051687116,-2.35784447609115,0.073114080901289,-3.60783822688671,-2.09785269752719,-1.58185620180119,-1.40430049290312,-4.1224203524597,-4.12562591699301,-0.799915797583882,-1.12389865001024,-0.819276698488535,-2.23192935750786,-2.95069904049412,-1.7994490073417,-0.722084480953834,-1.66087149515225,-2.88529915344295
"2_P1-20-0.22",-1.58210167306557,-0.945339832154713,1.12275193051613,-2.25906690893818,-2.85225990909134,-3.81887820589631,0,0.172734553885486,-1.6672583442816,-3.25791024497006,-1.69573267604632,-0.232817598616843,-4.18197220383392,-2.19059311554068,-2.62930817607533,-1.97460855073403,-2.79312098476815,-1.0919124047699,-1.52681500332771,-2.16056217599562,0.119178091638201,-3.04996382504151,-2.63956007155528,4.01054277109686,-1.47843084848232,-2.18160854620844,-1.49758690733744,-2.01292862977656,3.78387484938093,-2.14952249261672,-1.98387018288756,-1.68770188704478,-3.65890596611108,-2.95389560922825,0.518754454872102,-1.48362356919403,-1.61973997957765,-0.463188280102265,-3.45044567480321,-2.84848621873304,-1.96333395573499,0.310817841948007,-2.66070840092016,-3.02009772275514,-1.90132380003211,-2.33503918782236,-0.522230487273495,0.985792443815788,-2.02863863553749,-2.6637692813229,-2.71448878019773,-3.9692203574477,-1.38005607621205,-2.22784897090029,-0.806203835490107,-2.41971184701769,-0.416019252654426,-2.0993415115293,-2.49418245692331,-3.37445719575092,-1.48400136753973,-2.07010215983949,-1.50098155974849,-1.77237917699162,-1.63854536858189,-1.44568858417197,-2.08205130634454,1.38657591049736,-2.09128028660869,-1.95045217609169,1.98170132720663,-2.10808275768111,-1.49443722827752,-1.91354973189905,-1.98386204256878,0.647609390536611,-2.10156824372189,-2.95422231846698,4.59365780687883,-3.04406572095985,-2.94169977168611,-1.86701864258982,-3.05051709933637,3.13917327195977,-2.86352526235404,-2.8763707577302,-1.78330054363965,-1.65251931387917,-1.53211122683499,0.952113139629127,-2.41011126815161,1.55295614094673,-2.79985359992049,-1.05145216887353,-1.84055466854119,-2.17015177861657,-2.89044053961689,-2.93809154652037,-1.02860106888485,-0.348638123477415,-1.97736588054104,-2.80383337602634,-1.80300371967276,-2.82753014201134,1.45849582566534,-2.87440233450032,-2.8412610188978
"2_P1-200-0.22",-0.786383000994962,4.90184519498079,-2.36716543333409,4.19962435641171,3.88883098360027,-0.794652751259012,0.172734553885486,0,-0.650727800685891,-0.229403471679393,5.51855274950285,-2.29795701297273,-0.243153596387925,-0.318036378396404,6.10775100972431,6.8404252410537,-1.35411602057558,-2.44361505276802,6.38445944428757,8.4237924109653,7.11623620726993,-1.58229706978997,3.00855733291633,-0.415653067913785,-0.748552821152952,4.67995471745245,-2.3275818811559,6.03237166012364,-1.39657940939105,-1.01582685909074,-1.3102230767268,5.04997947161734,-0.870558968559941,-0.752969485713217,8.56479154162425,-0.04687231424026,-1.25809530083792,-1.98015675680811,4.06187050881458,6.16899530171825,4.46115610588913,-1.70471608951028,4.07772846892078,3.2366101317736,-0.683298980796034,-0.915106803795538,5.24336639064095,-0.305429094126921,5.26106154782503,4.18405801824186,-0.967792049921685,0.180881814928248,-1.01997309370121,0.215344762240235,-1.76362967676315,-0.0523368282574198,-1.44292661842979,-0.272001193864599,-1.12566888572118,-0.489580139222451,-0.0581125179331195,1.82623959798732,-0.617599443089364,0.847250951326519,1.25343933017069,-1.8747635713261,2.76426967353875,-1.68500002630512,1.20765391833762,0.64805685004695,0.337766503898887,4.22941441068856,-1.69157436740708,-0.259209670799243,0.00220332221029232,10.3262538180588,-1.27080393221881,1.04716138009206,-2.17572059266353,6.97170819772849,0.755816243624993,-1.402498950613,7.58666987639413,-1.64317789883388,9.48726011398764,0.683104614281085,-0.0299229834252624,12.7406243903523,-1.70545079898559,8.66323025180243,6.29785063454935,6.61136951580718,0.0268292649579579,-1.1247691279492,5.93933909581388,6.76558937523563,-0.936427984194785,-0.0947618020761879,7.23149297053179,-1.39789874533676,6.2345699139997,5.08262671733186,-0.869357282111974,8.10936532762853,-1.95252196628229,8.43536133310065,0.687988565798699
"2_P1-40-0.22",-1.71122347860602,-0.389457630852686,-1.02383988018473,-1.68780518952229,-2.48261786113097,-4.04528916460134,-1.6672583442816,-0.650727800685891,0,-3.52944800839764,-2.28805239903249,-0.74753527844284,-4.38667175374554,-2.11102067554737,-2.38928520693018,-2.0771918900861,-2.50169507528461,-1.38677473634532,-1.49321426036124,-1.86388777478789,-0.932195712877961,-3.42536636225654,-2.38638455594144,3.03604618176498,-2.02358664473064,-1.97463297083625,-1.59711396397766,-1.78102025360087,2.93394483226043,-1.93439590117846,-1.97549127158152,-2.6168601096931,-3.73816360001332,-3.14979455871547,2.84633383349241,-1.51888630215988,-1.60932981084901,-1.50069985124389,-2.80936446191476,-2.61858845960407,-1.78165873146896,-0.406674130611051,-2.34223155165955,-2.25221512282259,-1.9169329353986,-2.47014543001754,-0.764060420256774,0.2059397920581,-1.47602264348729,-1.32717221934375,-2.62692772947462,-4.11141234666736,-1.64905889205685,-2.07867929210628,-0.993736050932921,-2.4158163808645,-1.42497811938192,-2.01135023743205,-2.08675728450413,-3.47681644432279,-1.64354421587202,-1.70288329262376,-1.29451190928776,-1.57663439848362,-1.32854975448185,-1.44868181031752,-1.74701671043356,1.80280549135686,-1.6681792755527,-1.57720713837107,1.97617265420333,-1.9139986347263,-1.31037719363998,-1.74740907979317,-1.82647254792544,0.869867042597065,-2.13417562807562,-2.56913750251545,4.79283913217615,-2.74049289968541,-2.50032640795595,-1.71303414929489,-2.63332127680387,3.60611037607977,-2.43998767881749,-2.42670891255552,-1.50031547365635,-1.20336453395943,-1.52424861968084,1.88844030581357,-2.03879377016164,2.48477936585199,-2.39198273817167,-1.46122960555229,-1.65531535543643,-2.0024099764647,-2.47085643345177,-2.52438795836985,-0.876364803635837,-1.05144055355236,-1.6941984076729,-2.53999888811926,-1.74406921853561,-2.54917740093896,1.39754297923383,-2.52747804840407,-2.53424888832041
"2_P1-60-0.22",-0.266256448978297,-0.917143555873694,1.18396122115011,-2.13900749128385,-2.11564855232711,-3.43178039823318,-3.25791024497006,-0.229403471679393,-3.52944800839764,0,-2.61610060366264,-0.860711035395505,-2.9980670291647,-1.70122134626665,-2.97661454892161,-2.19525049233427,-2.90059969425829,-2.11077432999878,-2.05391128078642,-2.32789314175474,-1.79474859243795,-3.26416747593626,-3.08012987657209,3.1795098773986,-2.53692208048786,-3.01717837112376,-2.39018653925574,-2.92700038388513,2.28443723018169,-3.08449499691937,-2.5879254625215,-2.7264052980293,-3.38549411092302,-3.02584250012779,2.68288109387265,-1.25655520039959,-1.72872989282912,-1.86010981205568,-2.73812804792241,-2.17455160691821,-2.47979981211834,0.635371480823077,-2.38428724172601,-2.96142953274287,-1.25194191998107,-2.06705355259836,-1.70640273883724,0.696479473901067,-1.26399690310721,-2.00677398600992,-1.36828790538525,-2.92425537460696,-1.6949149801088,-0.862406710538548,-0.663277971601106,-3.28752173210829,-0.531135409129674,-2.14982223198764,-2.77063611642204,-2.76910237942867,-2.4912200482577,-2.64898059470723,-1.93827931507596,-2.10903782119001,-2.49856890708581,-2.18746287244659,-2.13361678352325,0.815935039145041,-2.32170464922594,-2.32080056002115,0.749426811173336,-2.33113554877075,-2.21276851961515,-2.17324521080229,-2.30216550155988,1.8578455935777,-2.49265888048001,-3.15167001752192,3.90465906471117,-2.87638889204731,-3.12159417762588,-2.74402243257631,-3.02576856571796,1.9643091889665,-2.1597586594855,-3.05582915178489,-2.18526389696015,-0.874295620972804,-2.33266686178602,1.0995354051666,-2.51982499773914,1.29618428065653,-2.34012680632658,-1.03426248899844,-1.93473012027066,-1.93944442161075,-2.62329169859372,-2.62350290257272,-0.513643135225057,-0.769305710283587,-1.4283645673486,-3.01057718833311,-2.42790756757015,-2.87057667787575,-0.0968290192321299,-2.89204365278634,-3.14320227514599
