"","1_P1-100-8","1_P1-20-8","1_P1-200-8","1_P1-40-8","1_P1-60-8","2_P1-100-8","2_P1-20-8","2_P1-200-8","2_P1-40-8","2_P1-60-8","3_P1-20-8","3_P1-200-8","3_P1-40-8","3_P1-60-8","4_P1-90-8","4_P1-20-8","4_P1-100-8","4_P1-200-8","4_P1-40-8","4_P1-60-8","3_P1-90-8","5_P1-100-8","5_P1-20-8","5_P1-200-8","5_P1-40-8","5_P1-90-8","6_P1-100-8","6_P1-20-8","6_P1-200-8","6_P1-40-8","6_P1-60-8","7_P1-20-8","7_P1-40-8","10_P1-20-8","7_P1-105-8","7_P1-200-8","7_P1-60-8","8_P1-100-8","8_P1-20-8","8_P1-200-8","8_P1-40-8","8_P1-60-8","9_P1-100-8","9_P1-120-8","9_P1-20-8","9_P1-200-8","9_P1-40-8","9_P1-60-8","10_P1-100-8","10_P1-120-8","10_P1-200-8","10_P1-40-8","10_P1-60-8","11_P1-100-8","11_P1-20-8","11_P1-200-8","11_P1-40-8","11_P1-60-8","11_P1-70-8","12_P1-100-8","12_P1-20-8","12_P1-200-8","12_P1-40-8","12_P1-60-8","13_P1-100-8","13_P1-20-8","13_P1-200-8","13_P1-40-8","13_P1-60-8","14_P1-100-8","14_P1-20-8","14_P1-200-8","14_P1-40-8","14_P1-60-8","12_P2-100-8","12_P2-20-8","12_P2-200-8","12_P2-40-8","12_P2-60-8","15_P2-100-8","15_P2-20-8","15_P2-200-8","15_P2-40-8","15_P2-60-8","17_P2-100-8","17_P2-20-8","17_P2-200-8","17_P2-40-8","17_P2-60-8","17_2_P2-20-8","6_P2-100-8","6_P2-20-8","6_P2-200-8","6_P2-40-8","6_P2-60-8","8_P2-100-8","8_P2-20-8","8_P2-200-8","8_P2-40-8","8_P2-60-8","20_P2-100-8","20_P2-20-8","20_P2-200-8","20_P2-40-8","20_P2-60-8"
"1_P1-100-8",0,0.308580308333969,1.79660449734018,-0.20846874735591,-0.511889441091004,-1.10844788819717,-0.105345699178366,1.46678981121481,0.659321869766425,-1.43203118535963,-0.503661154098164,-0.296931394837257,0.185619176258581,-0.517422316240388,-1.64542042519582,0.155798626984247,-0.463789597288516,-0.148709147584937,-0.699321339176579,0.253577127115327,-1.91852160942412,-1.14371753746497,1.65528969415909,0.597073402285784,0.969205500481795,0.833506687441591,1.15809806777699,-1.32388077058629,-0.345490217769424,-0.931213376176882,-0.778316970784968,-0.0838324101337284,-0.527076618042885,-0.465528779910284,-0.567563078999177,0.532138208037491,-0.35862775503526,-0.916090958689577,-0.450612413183441,0.610603512388705,-0.412877429414552,-0.158229546854346,0.00395212997397405,0.0504595939739462,0.570639302189013,1.12869235854409,-0.261227263060064,0.282869451558243,-0.164265663818683,-1.55123780871015,0.453757550285284,-0.19440901401786,-0.254640580082311,-0.116218693366329,0.469855135648175,-0.2643691160232,0.0887250244891181,-0.531811345438812,-1.03789692492572,-0.2292884241636,-0.296490953888652,0.390732830861781,0.237720037842307,-0.378210771554652,-0.859506718223519,1.30931451962992,-1.22116637835404,-0.506305641172742,-1.03440018462182,-1.4033490490664,-0.920362769881682,1.88795271104712,-1.3060634231588,-2.00765614504862,0.0987078282935725,0.442816390136502,-0.0644908860564537,0.0203056341203136,0.145351013511218,-1.05307207996225,0.480382430184635,-1.56338419668969,-0.627820726768731,-0.542164852518753,-0.751976534383359,-0.367629729213831,-0.633786920212112,-0.680040530119903,-1.05031985892755,-1.16120737999416,0.441538012838717,1.21339622436417,0.318801725459167,0.951155251634145,0.774174384228019,-0.408579317117688,0.50493272813769,0.574149051284034,0.0676158583544951,-0.10526700796368,-1.02188233874917,0.939708712011723,-1.44463033838895,0.315897102375645,-1.12023309661289
"1_P1-20-8",0.308580308333969,0,5.04005379072257,-2.66135481264681,-2.18028213224695,0.196684842043428,0.366631020774739,2.1702405336818,0.548937545744703,-0.732532663865398,-2.58367910020205,2.98262147560391,1.27741232519079,2.09077354162317,-0.53058339763073,-1.94901716025022,0.0474128749584208,2.08215954154979,-2.42294111238521,0.355722654821121,0.15099556576062,-0.147755982807683,0.578799080013332,1.9615216016575,-0.744839140921103,-0.952336813484466,1.20539557926554,-1.43577209657143,0.890120828405095,-0.388775212821305,1.49591031229121,-0.287431114473184,-0.54753206926739,-0.976373973784947,1.80320190116688,1.86183766062447,2.00571496284189,0.772671193546419,0.824292184773241,2.38698799968803,0.849601159017416,0.814013906862764,2.04342715775108,0.798270877364874,1.29506165267351,2.2568804623481,1.69988133089115,0.885864836833713,-0.0525477612482794,0.925708848852568,1.78608976248929,1.93616980699509,1.94383516912847,1.25497090058081,0.608518516326712,2.4041183163569,0.175163968830248,1.06669931017475,1.82217380521793,3.00326176272583,-0.985128383313904,2.52590047953681,0.101523897221415,0.503091002560101,0.900630634793296,-0.317896356767237,0.982149084964816,-0.515415849785022,0.14800293596482,0.2896562745863,-0.0855798699784891,2.73330993792944,-0.660809972338789,-0.384275769347953,0.866861232469342,-0.445514236642136,1.4050162199375,-0.887515106801779,0.0394858503103454,0.919983298041461,-0.371756495274379,0.383675465568589,0.859751782236423,0.740610344533809,1.33351135731561,0.313101057436297,1.59199609863019,0.70727093213746,0.224474090450371,0.208311166255392,0.421035005176992,2.06995975088223,1.35258334943591,1.2733849327298,0.175967520832372,0.771494406695251,0.889368473658893,1.39157414172627,1.10863384902756,-0.410302457878582,0.580273159650951,-0.0535721955213021,-0.230661345080983,0.186864944612322,0.621794626849972
"1_P1-200-8",1.79660449734018,5.04005379072257,0,3.27163500887348,3.70822955233177,0.266389981906151,1.75166015208631,2.08788051594794,1.55346558694646,2.61972689327865,2.77166679811338,0.155265463153804,3.05533182791573,2.83626629523479,-0.337819159521617,2.21335283470948,-0.108396527879637,0.143399155027679,3.52455473298175,3.16464502879869,-0.449731435932585,0.187855667641914,2.18660448322915,0.269121842150617,2.25083863528361,1.50192567745782,-0.10144818627132,3.51556533254299,-0.733646798656083,1.72323744432301,3.61165709705671,2.11389707573022,1.77567521342438,3.40568243527501,0.871862753746499,-0.026204214753582,3.14486623007249,4.03086499770388,3.1748948257794,0.60787735526834,2.2075577937167,1.2997703598719,3.02445832669139,-0.163730256372945,2.70476816008533,1.04226145674753,4.49523251690102,1.88990328173717,0.680163278972936,2.24350832928103,0.439905269984478,4.90216254493736,4.83730375934539,0.14451476412477,4.97796519531507,3.22391585827701,4.64235244701188,2.87670390848458,2.64264086908499,2.2850744959613,1.32998394659805,0.856569648117783,2.41911047032797,1.69590231952825,0.5702920571497,2.92644919059076,0.0731798758663796,1.45695050355652,1.51663750611987,1.1697171790438,2.87704421533458,1.43634602284503,0.810027202414225,0.246818152543731,0.800470320851187,3.05060314438262,0.739730414724806,2.95138096766277,1.4748517412311,1.13920444014407,4.41333665723389,0.638464673774374,5.00468252792557,3.8273149276457,2.74125510479735,2.20364953799581,0.496879573570703,2.78273463780451,1.972790055707,1.61476736298374,2.79651461219428,2.55360599322917,-0.0878369912512449,2.96765607716095,4.13739735970729,2.06850295729194,2.34428941947203,0.231443168264819,4.26220246255906,4.31487745276781,0.052945221589566,4.19699996014646,1.70282144648618,3.78081258751876,2.80433499119772
"1_P1-40-8",-0.20846874735591,-2.66135481264681,3.27163500887348,0,-3.16728645976418,-0.488435029086067,-0.683839083818386,1.32259524646135,-1.1192337389437,-2.9889344321836,-3.73507447329626,4.07373017453584,-1.27555562382828,0.389716241198615,-1.25038363675578,-2.65500213494378,-0.846976635990767,1.20794507005963,-2.62325635548328,-0.628786675423204,-0.921012086542479,-1.12157076874348,-1.3943479829033,1.53780726826059,-2.25145311404216,-2.45624246900047,0.00121216169391554,-1.11516831034758,0.324501806568074,-1.57579572144964,0.610945335888278,-1.54179554877127,-2.00212364746463,-2.53303438968348,0.459225622431609,2.21240647836777,0.552915504838501,-0.94226593716411,-0.526535941965311,2.66782410056924,-0.979408953618972,0.03823206191272,0.293070921844182,0.138200814497506,0.223711700929066,1.4607412568914,-0.17368740724698,-0.101895322789067,-1.21244084131321,-0.415507559645808,1.17853538378376,0.487850046267609,0.664583571945097,0.523013065496008,-0.428269959562251,1.50592177412964,-1.26587959097444,0.809959743972439,0.817839718364635,4.41426768954878,-1.48192862155931,3.7044053804956,-0.553950019956587,-0.127298991555431,0.312277759775325,-1.14888212234855,0.284878304796286,-1.25256977073355,-0.511149487884824,-0.129425058775124,-1.04945790756226,2.95391331600567,-1.24536236525513,0.0682870953299806,0.432327503013615,-2.20520125990536,1.65369012501729,-2.30697100013411,-0.966253611576421,1.38233013242837,-1.1018863587489,0.568536054328348,2.38758261477459,0.608077431442567,1.9414462516873,0.287402491671623,2.55112606648285,0.61627085396876,0.613711654659144,0.0891030893071193,-1.31142621036958,0.43598458881901,0.803113718904115,-0.508951494840535,-2.01631701862794,-0.508727647348376,-0.0479533543588217,1.49018047525266,-0.135547295644131,-1.76787112264501,0.712410857019014,-0.957720319150881,0.154608123680923,-0.829923531891007,0.188214115984915
"1_P1-60-8",-0.511889441091004,-2.18028213224695,3.70822955233177,-3.16728645976418,0,-2.27598386627906,-2.26912103122457,0.727507643274519,-1.71736760173483,-1.77330363700107,-3.56736464492275,5.91939371563422,-2.58030690778058,-2.15490820660417,-2.31022612898793,-1.98711742227955,-1.3957687229435,0.810594063266524,-2.94068584127327,-2.25133876634412,-1.76108837404138,-2.39901078788605,-1.31812235729845,0.828121448253506,-2.75986032496439,-3.58306317123922,-0.304907970561344,-2.68062608200203,-0.37764865836218,-2.79140813849659,-2.53969229685752,-2.81067972417784,-1.5388407319325,-1.5524014225632,-1.26487410218833,1.17563616186616,-1.38895347265394,-2.64180831092611,-2.17349023740713,1.77831171220499,-3.05053730168028,-2.07361281599493,-1.43171455532772,-1.29948480327296,-1.51039422172004,1.19370777189261,-2.1302547521201,-1.33469984280511,-1.92547702875252,-1.75967973832395,0.14638474825631,-1.57392157985268,-2.42361410926982,0.919289217018146,-0.714443533315189,0.399970587096051,-1.71320060547377,-1.19300095283797,-0.801708126643338,6.04639562371421,-1.63665632235095,4.53982427264946,-1.42784117640485,-0.988832781699499,-0.387274416859039,-1.0054218889793,-0.0667238032927181,-1.84441996407316,-1.2510083099554,-1.4012013893016,-1.08464312662344,4.88781317712941,-1.41882100510559,0.957672709154399,0.738581339546298,-1.6355133093062,2.06419158409731,-1.92175649708851,-2.38505539396526,-0.901618171844793,-1.11295906461542,-0.561280960393944,-2.12927449654222,-2.50848232095216,2.9120365825253,1.8459147005032,3.82852333593668,2.31416645313986,2.53611776475502,0.597848709518389,-1.45923558243667,2.8687338527092,-0.054760769273622,1.70529622717604,-1.79086876936141,-1.34866408367187,2.17515188946479,0.869804963963896,2.7093803785547,-1.32314368962602,-0.343334743622096,-1.74255623245514,-0.732211772812281,-1.97922220771408,-1.59171392482006
"2_P1-100-8",-1.10844788819717,0.196684842043428,0.266389981906151,-0.488435029086067,-2.27598386627906,0,-0.987916987241138,-1.17960499332972,-0.568373509427584,-2.16128320941877,-1.56657495388461,0.648151763499622,-1.10789614904039,-1.34336657677692,-3.98696898098803,-0.429321337204382,-3.0399441461438,-1.44513246090436,-1.13725612317579,-0.3871178065663,-3.27634357086011,-3.34977063527677,0.454318979502952,-1.52268722617311,-0.141880841625013,-2.12658246003922,-2.10931427258629,-1.8126724184643,-2.28781496275062,-2.57734576354132,-2.13534291359471,-1.17688573170758,-0.99272284363805,0.320010350936506,-2.66701354578727,-1.96365444380873,-1.5623024658309,-2.28062601008807,-0.290752316810915,0.304555233296631,-1.20353901666923,-0.043421974914818,-1.19841206761971,-0.0560803674334911,0.998062752127984,0.819189825759117,-0.846383031753965,-0.267674264046316,-1.55376274509695,-2.19324689238434,-0.246546621468445,-0.254954837330262,-0.582395796575542,-2.55564842394279,0.267340629306815,-1.99186001972788,-0.649549582776046,-2.37982156192886,-3.64248624962431,-0.332942635105591,-0.7688369803405,-0.39298665474792,-0.354910698573518,-1.06054572171606,-1.60501449790758,0.919683616890057,-2.57943526845871,-1.25319261918544,-1.67217770678561,-1.67820075165156,-0.531129240306783,3.04623919409631,-1.63344934367888,-1.24906257618276,-1.19705659796497,0.257911989666528,-0.158917156314808,0.152763007044237,-2.30724818573262,-2.59483039200702,1.40906647802662,-2.00695220040731,-1.46807221667615,-1.87527000140541,-0.703514888691843,0.681477539768346,-0.290788106252825,0.913062844992058,0.0126616576153123,-0.388705023624338,-2.64873633375075,1.53692123516435,-1.02433189485592,0.678792444034229,-0.518071067352981,-3.76757034913264,1.83658472250406,-1.27792299791252,0.521972345477499,-0.130549208043833,-2.15966399918876,1.67890190191122,-1.89748324731414,0.187963342114396,-1.55468938991217
"2_P1-20-8",-0.105345699178366,0.366631020774739,1.75166015208631,-0.683839083818386,-2.26912103122457,-0.987916987241138,0,1.4467093377906,-2.10649136958723,-0.422429791688198,-0.398177524909843,4.89672904720777,-1.63580098917071,-1.79308699804576,-2.51144903823565,-0.748667355651288,-0.277692695220894,1.55347944378323,-2.64522609075298,-0.978100522895424,-1.0794916042942,-1.47349031800551,-0.178476337698513,1.29916477908624,-1.44289239153372,-2.09738475953945,-0.431119517126768,-1.06549178724466,-1.17029334458063,-1.0804210673877,-0.752343707681345,-0.197300036718986,0.217995345050143,0.067628279047181,0.257111121588239,1.23497738174885,0.885042237461815,-0.107693135438108,0.175132578424176,2.25112813471778,-0.316285493105788,0.173604190327381,0.12169331123159,0.538222105462752,0.470336164544548,1.61581366316512,0.339719030273671,-0.49899704999396,-1.01685083327248,-1.25517224672277,1.37736033726469,0.46547831043612,0.232630584888545,0.548471398331193,-1.38556565455075,1.49779986971467,-1.5195681657574,-2.26623209658846,-0.38595960439179,3.75388222187808,-1.49584424039961,2.79284576014443,-0.967814767760822,-0.799674679523263,0.158691840335953,-1.2689614944672,-0.0431209331797359,-1.43686248862313,-0.609366284273103,-0.438459064587835,-1.32163143222864,1.48603109715346,-1.2643686625041,0.237428677451016,0.515199982818824,-2.69890654017642,1.06393100013368,-2.70512284599328,-2.202056933866,0.615632868910085,-1.56440311318131,0.550317634422558,1.90460427355352,-0.0147705487498511,1.55699897914729,0.392528493231468,2.94454395291538,0.774250640044088,0.969407358717765,-0.437346300534259,-1.64016276100607,0.208147985637142,0.10723920578431,-1.03341086432489,-2.10349184028133,-1.25451804172155,0.0172399383609411,1.00469758469118,-0.744871476608217,-1.88701795753294,0.639105322136636,-1.42410977837059,-0.343307625630267,-1.36108777921052,-0.20235848577068
"2_P1-200-8",1.46678981121481,2.1702405336818,2.08788051594794,1.32259524646135,0.727507643274519,-1.17960499332972,1.4467093377906,0,1.7461627947382,-0.352633999097869,0.437922677380257,0.0349259797489802,0.907180734499856,0.17762307160273,-1.22305044712394,2.63148867452292,-0.673249847696661,0.364624563327864,1.89200106168323,0.869312017706651,-0.759996130746308,-0.877498245386884,3.2578625931746,1.1783082557267,2.07512765544866,1.13481170676311,1.79513571187466,1.74109055486451,-0.259373019725835,0.736957294891301,-0.626081605705521,0.824230608285097,1.12546915268261,1.23199094883239,-0.512390084998113,1.44711841962012,0.758682782786965,0.644385937233783,0.874073492107414,0.654683406390977,0.716169934734815,0.841366543329127,-0.690506878634487,0.363130489790055,2.20943906079003,1.15996023782312,0.555067390214324,1.27340934442873,0.695441626762219,-0.259082441575546,0.558490159293435,1.24916013061391,0.938710719653153,0.139956936712983,2.15584379754342,-0.907641925371975,1.48323919628474,0.0660479230430493,-0.111379021398179,0.828175429895623,0.94728512748584,0.789595243269847,1.95099640602441,0.794800980301039,0.442845992759914,3.01319212244803,-0.120300736837973,0.245690349014277,0.740991724855037,1.6974047399712,2.40686381404201,4.39606474801626,1.62933196970285,0.692325700396949,0.61998824277274,1.58232659614604,0.53485596130078,1.11272756480738,-0.0431303079732496,-0.73222345233856,2.87133418030706,0.027202545859339,2.48871977842125,1.33494823793335,1.207947587717,1.69117440811629,0.103471596909667,1.51218242014911,1.37010475317878,0.652180348064107,1.55799365272251,2.38367397042312,0.868258780452083,2.32341148889146,1.68072842168017,-0.304038496622721,2.10337675774925,1.16643354968178,1.95316701114594,1.22811280614112,-0.321950721952342,3.15001847928715,-0.0208646459274477,2.61237122001779,2.62334385000735
"2_P1-40-8",0.659321869766425,0.548937545744703,1.55346558694646,-1.1192337389437,-1.71736760173483,-0.568373509427584,-2.10649136958723,1.7461627947382,0,0.160390904338303,-0.161571363297167,4.90076899464291,-0.395601453581712,-0.489812187168555,-1.98690683088105,-0.617484288213586,-0.282963671354136,1.39214714299952,-2.95446439256487,0.151417523171622,-0.520369048783192,-1.345296342488,-0.532016560450646,1.01752915292321,-1.34769065227784,-1.19581553894627,-0.380270580015029,-0.884890309528872,-1.04826707097469,-0.666083121396397,-0.262067076977998,0.119227104037206,0.128540637172491,0.323171802358152,0.499007811721427,0.728674295086974,1.41114540723755,0.0973955116173262,-0.176241628898823,1.85554260806355,-0.425661200705484,0.0842955521147277,0.580036634047455,0.600225579537692,0.892065087199751,0.638076950028864,1.19467981709189,0.0536273971603609,-0.674116917175245,-0.901041710674502,1.320243128232,0.919958682352726,0.883503529762037,0.81142923738399,-1.27078843735165,1.89786545488965,-1.27177049950644,-1.59038614823306,0.242459497243965,3.61959559780653,-1.46586294671556,2.71677204729148,-0.704396847049193,-0.284300801012904,-0.129704748788574,-0.659511715850324,-0.0304220394568576,-0.760390264037748,-0.0210825307584136,-0.365722866269352,-1.02552168817597,1.75128419837523,-1.0570117900769,0.148858501793667,0.796974306082985,-2.23707831253333,1.54470149776946,-2.67528809493826,-1.60187859957531,0.293444534085877,-1.5687250378518,0.460191215627131,0.363563041414429,-0.382035185558438,1.18908151237447,0.333964799966435,2.33555184804343,0.569013281085153,0.884208448196405,-0.583457984525481,-1.37231531066569,0.885649655581046,0.508728615430466,-0.383018341590389,-1.7156662491896,-0.661801898607047,0.266188713221384,0.590420167287907,-0.198847591501177,-1.79070207542318,0.498772925015924,-1.46134872314551,-0.977163353708688,-1.39631238285295,-0.338731104878544
"2_P1-60-8",-1.43203118535963,-0.732532663865398,2.61972689327865,-2.9889344321836,-1.77330363700107,-2.16128320941877,-0.422429791688198,-0.352633999097869,0.160390904338303,0,-3.06334734397438,3.12767618447112,-2.39455477285227,-2.22984602318316,-2.28407824570275,-1.66557009484514,-1.6773509735417,-0.655950492067604,-2.29549536593712,0.258711154825826,-2.71678804833334,-2.23429395772151,-0.0980852200577347,-0.702717833141067,-2.12153210786832,-2.39451814016736,-0.665874617808527,-1.54265446990228,-1.55262196565401,-2.34532246995415,-1.77363423702118,-1.65620637393631,-1.08342825508196,-1.9028638126781,-0.277434330599903,1.18079206863373,-0.930396432978195,-1.96602195818695,-1.89932776443386,0.875751036308666,-2.77994848081612,-1.01069541863646,-1.77102358115779,-0.350893492743837,-0.656702434413507,0.605548752228826,-1.78628794808991,-0.342779019611448,-1.38414403374679,-2.0794029754559,-0.299373990295816,-1.57217444926393,-1.77807752487427,-0.45444847091978,-1.31540958594881,-1.26579432137855,-1.62022493372778,-1.93618182853649,-1.35678803180438,1.73312899173976,-0.979791055968377,1.18056781080161,-0.76070082499429,-1.29110068138888,-1.21811517222153,-0.935455331436493,-1.70369587473613,-2.09506126284085,-2.35407818803672,-0.786387840515498,-0.771720411527434,3.6800147011518,-0.749747708815639,0.0400068783472014,-0.838632502700517,-1.53924823380955,0.0720344982402139,-1.80790146229852,-2.09292117235991,-1.36083662238849,-0.300128187036367,-1.50730216004605,2.57879841823642,-0.13486195730361,0.343441317685504,0.863921827031298,0.578429299203344,0.714256342252516,0.705955471118751,-0.0838497017430662,-1.28945270021486,1.09626104220764,-0.0113919392371105,0.128405489099333,-1.36255631471426,-1.69120559613645,1.15485026043893,-0.095749053152086,0.390248301756203,-1.65210460963912,-1.6271288589561,-0.827890964206485,-1.69039194939808,-0.89619367430899,-0.290623370189636
