"","296-100-3","296-20-3","296-60-3","297-100-3","297-40-3","297-60-3","298-20-3","298-200-3","300-100-3","300-20-3","300-200-3","300-40-3","300-60-3","302-100-3","302-20-3","302-60-3","304-100-3","304-20-3","304-40-3","304-70-3","306-100-3","306-20-3","306-200-3","306-40-3","306-60-3","307-100-3","307-20-3","307-200-3","307-40-3","307-60-3","310-100-3","310-40-3","310-60-3","311-20-3","311-40-3","312-20-3","312-200-3","313-20-3","313-90-3","314-20-3","314-60-3","314-95-3","315-20-3","315-65-3","317-100-3","317-20-3","317-40-3","317-60-3","318-100-3","318-20-3","318-40-3","319-100-3","319-20-3","319-40-3","319-60-3","320-100-3","320-20-3","320-200-3","320-40-3","321-200-3","321-40-3","321-60-3","322-100-3","322-20-3","322-200-3","322-40-3","322-60-3","323-100-3","323-200-3","326-100-3","326-20-3","326-200-3","326-40-3","326-55-3","328-100-3","328-20-3","328-200-3","328-40-3","328-60-3","329-100-3","329-20-3","329-200-3","329-40-3","329-60-3","330-100-3","330-20-3","330-200-3","330-40-3","330-60-3","178-100-3","178-20-3","178-200-3","178-40-3","178-60-3","179-100-3","179-20-3","179-60-3","193-100-3","193-20-3","193-40-3","193-60-3","241-100-3","241-20-3","241-200-3","241-40-3","241-60-3","262-20-3","262-200-3","262-40-3","262-60-3","267-100-3","267-20-3","267-200-3","267-60-3","287-100-3","287-20-3","287-200-3","287-40-3","287-60-3"
"296-100-3",0,-0.93064879417112,-1.92897555254691,-1.32596808030985,-2.65194500766081,-1.97935360023304,-0.889822727313111,-1.37906174972268,-1.11164885879391,-0.473001592834669,-1.15403151820682,-2.21297526225234,-1.28113622453572,-2.01344077180839,-0.730478732570507,-1.46705407129051,-1.23006343566449,-0.824920271962836,-0.664695413191878,-1.2265535734437,-1.45181536754431,-0.585043368746248,-0.575760424517855,-0.766013626083791,-0.920815380043241,-1.68293016071717,-0.926324175509794,0.540841281226921,-0.699692331669284,-0.812157997682382,-0.581564873768631,-0.447436309289118,-0.658803990872683,-0.742080467636686,-0.725202773489621,-0.57049921190592,-0.967399995368724,-0.798726974659243,-0.600510832865388,-0.604577648885231,-0.874601353192864,-1.45463649868044,-0.816657504697231,-1.66041062697081,-0.123910317327318,-1.36776578664767,-1.55355204728014,-0.747900121508773,-0.206834830617455,-0.813328017273621,-1.70352134003879,-0.251399712122286,-1.72863537061875,-1.1435499026695,-1.27762314691302,-1.26435163009483,-0.488924147540407,-0.0725670186020851,-1.80860049433424,-0.0333131309460841,-1.39415660486569,-1.85107096880838,-0.206825496339916,-1.19907265367682,-0.452980277544821,-1.76217569637248,-2.00093759243734,-1.22620234710017,-0.47657672803329,0.0640275853462186,-1.42610303511439,1.16478450168849,-1.67049580206322,-1.63096842151345,-1.05784949346284,-0.165124417986189,3.40977768832446,-0.517192640346928,-0.948147973365106,-2.00508661174521,-1.7650860364404,-1.40855612802699,-2.74013487395933,-2.10161716064988,-1.8167842005462,-1.29610181008314,-1.53262493800746,-1.76737621365754,-1.39231901168538,1.16906016509419,-3.20520639460434,2.70749032256046,-3.29605536927015,1.4070475506632,0.0570432043998554,3.28078869116394,0.566848279684621,0.178446794489482,0.491600123133373,-0.396363773099422,1.29536695561509,1.32894143726085,1.18853751905852,1.54217912072799,1.09854343101697,1.38778098754148,5.627443097225,1.80208886214697,1.06969849978394,0.410063994151581,0.190469479008717,0.486793197177644,1.79946205650394,0.314965356915788,1.32586126342579,2.79783839476009,2.23056919590208,2.15172259969889,1.53429160565022
"296-20-3",-0.93064879417112,0,-2.26715622166411,-1.59853748571549,-1.48141189300057,-1.17919942809052,-0.348188043273096,-2.00555237057826,-0.934978285007027,-0.432466551688354,-1.1099008110487,-2.31077118766858,-1.32531276946055,-2.02393242242842,-0.599313967378952,-1.49989873711756,-1.40981206847151,-1.00253564096434,-0.690942645166072,-0.703645119262058,-1.48106636775106,-0.633098221859193,-0.968285522926488,-0.744877365133926,-1.05462688389293,-1.6753747564651,-1.07605661079572,0.298458709142182,-0.712610173742333,-0.85016854654454,-0.492551646611953,-0.352285347675865,-0.537019781525418,-0.743769753845269,-0.67597986856442,-0.500259768259995,-0.473822419403141,-0.863248939169349,-0.575926374838786,-0.558422089075971,-0.941769636102944,-1.71028121038747,-0.887950210957217,-1.42275918320314,-0.145756082314543,-1.47195866749409,-1.16223914650811,-0.510177966581321,-0.0833699832047415,-0.802657427110693,-1.68520238513892,0.0350743698081961,-2.16576229283596,-1.32851415249341,-1.55834199651734,-1.22936492127111,-0.708141303048563,0.532998738425971,-2.10882897866119,-0.00277162398158498,-1.24808353801623,-2.26725531441552,-0.687275909214033,-1.20982320605761,-0.478943332000923,-2.08722726211648,-2.34316181880577,-1.57255630360938,-0.683726965463302,0.00328206500232463,-1.50269155386989,1.81369543649871,-1.94586608711473,-1.39641712095177,-1.25313301691212,0.0624700065852541,3.08690319015003,-0.409903649469365,-1.07797637724114,-2.13705970436938,-2.16973422860815,-1.61704659804913,-3.08013045439791,-2.35223861456048,-2.05257508429253,-0.859811446153156,-1.61729782115924,-1.57737327105948,-1.23003792197099,1.1200134716511,-2.81994080608765,2.7304458179314,-3.27096168926875,1.24039897468792,-0.468469862964645,4.40211139752913,0.51891924461046,0.940697392730674,2.32563065230814,0.300526144177363,1.84756643640795,1.65843436874163,1.28050961107528,1.26336188220938,1.37136764936325,1.15008588717343,6.14090400475774,1.56748201036009,1.6732896419506,0.758114232248861,0.863168740682696,1.36697284923347,1.32387438591088,1.6937241306059,1.54679186794884,3.95797918632687,2.09139762617956,3.14037401743056,2.33406902545232
"296-60-3",-1.92897555254691,-2.26715622166411,0,-2.19729495526427,-2.56045771551445,-1.83129221775593,-1.84187194766719,-1.23311162257489,-1.38092717974898,-0.232740640967005,-0.849218600449912,-2.64510312123075,-1.63841701196864,-1.34720786215718,-0.680052797028097,-1.15279793291583,-1.59524751586936,-0.869819481791803,-0.921898299151282,-0.71980083298509,-1.25654242973512,-0.514827206249431,0.0895183487224792,-0.911630075137039,-0.75071811026284,-1.92767486452504,-1.03072341244849,0.667100326044257,-0.731992604358025,-0.835760082904905,-0.785991636954023,-0.708959768406389,-0.881420163876588,-0.726061273981013,-0.954758861696641,-0.492184431538287,-0.833410110289196,-0.855964976915886,-0.612932522929538,-0.677140131579126,-0.949907897695985,-1.31150420167989,-0.868988774930681,-1.7270877757604,0.016804727419722,-1.26752148588307,-1.43991968660926,-0.622449871420962,0.0590224312643613,-1.05258605706907,-1.94805848451017,0.0856241759988692,-1.46746937920353,-0.666129127229338,-1.4597972288987,-1.02147820401345,-0.49829503600994,0.185574795433193,-1.89876074046016,0.121136319021333,-0.954834721952619,-2.36655676008604,-0.654593467163578,-1.61830364132286,-0.273504888058683,-1.78758065296808,-2.34531433335305,-1.49008968957493,-0.864061165138074,-0.121186287008713,-1.26332924688869,1.64382537065001,-1.7315153177576,-1.53643545546467,-1.30729284964191,0.623588240468391,2.55471528848752,-0.212575620326253,-1.05596928788824,-2.00279845564722,-1.16004913921465,-1.41954919584696,-1.85876503746273,-1.50455838352103,-1.10103627441529,0.0347417302045854,-1.6117351676494,-0.900123605401697,-1.30451684908573,0.53694928686116,-3.06772376195964,1.92032564364942,-3.29407638285157,1.05552066911752,-0.290108179570448,3.52455620973226,0.475802047122039,1.50824131308996,2.8406124972829,0.569076712843471,0.848343971306731,1.24741234393382,1.99570453935508,0.543220103207506,0.801042812687502,1.17041468374046,4.60650462785968,1.34218082187129,1.34396289141295,0.166691697177889,1.49142898233476,2.01229648761642,1.77567477923977,1.9151697476835,1.17351746786802,4.15075631545763,2.00258345622268,2.70653699215715,1.89536982836248
"297-100-3",-1.32596808030985,-1.59853748571549,-2.19729495526427,0,-1.8417795987437,-1.65223146123017,0.232611728138036,-3.85180468016075,0.191508989426384,-0.0664209330191319,0.784639493949347,-2.09645304482823,-1.36676561156709,-1.10516092349108,0.528528685412174,-0.791005741881464,-0.855216907376519,0.621680992569995,0.665915906790802,-0.698926265593341,-1.14533281943139,0.650364633438077,-0.789219826987355,0.424565720870739,-0.486695594298759,-1.28224122898588,0.389266336977613,0.659925021302948,0.473096371313599,0.20773988677619,0.387962163278776,0.525064286398705,0.370386100434048,0.73730046658388,0.48562459561117,0.844089648235093,0.179866832511108,0.631905994433844,0.33736430730383,0.535057595553189,0.436968129981281,-0.978359456889204,0.659757942419045,-0.923313632974219,0.676069704509415,-0.441005835470996,-0.712278278329855,0.38802500619778,-0.248422229921361,-0.123909770276386,-1.39988251602391,-0.105580252450368,0.232328773245894,0.248438809327689,-0.375102980226021,0.47678875426654,1.30929619853859,1.00738561619447,-0.741331345394976,-0.027332569320245,0.00782498808871666,-0.434781088738196,0.624722036341541,0.405071735814628,0.33906788111598,-0.882389288232354,-0.665591195657053,0.262381306804679,0.0105557669829114,0.599526960106661,-0.664086788067574,2.16498504883925,-1.05903122953743,-1.12525157091934,0.153573016639733,2.5931524065709,1.4213678284601,1.85405370921459,0.344102112817973,-0.378040410261077,-0.668517969886416,-0.0625976916152704,-0.698355116800414,-0.428309938008857,-0.591349102287595,-0.623173419001359,-0.670204629523394,-1.02246965932772,-1.01109221313912,-2.0870274800454,-2.25113662401891,-1.70952468554628,-2.26116453905298,1.8734891587249,-2.51612777659234,2.15021303069874,-0.315782127231737,-1.57132871776031,-1.02713530132639,-1.67008903852782,-2.54679620328493,-2.94492464282445,-0.854791613995244,-2.79651515297154,-2.46371011142357,-1.74206963919114,6.12015761106914,-2.68730274382864,-1.83611927056925,-2.66034389371082,-1.62288116203962,-1.26180895292463,-2.36099530755665,-1.28631259794672,-2.15677621317248,-0.164366282871124,-2.23011379623474,0.993855430967206,0.384327004779647
"297-40-3",-2.65194500766081,-1.48141189300057,-2.56045771551445,-1.8417795987437,0,-2.37699560816823,-2.13214170208695,-2.1472092414828,-1.91059283835424,-0.674803523520092,-2.37479253246202,-2.773018776692,-2.28233798505177,-1.86979945500026,-1.32910697537535,-2.32251131347196,-2.0511110054938,-1.7215307265204,-1.5861831098828,-0.459407822636338,-1.24878648007385,-1.57132754367073,-0.976447036691758,-1.22764275907923,-1.31871318275036,-1.65406886507915,-1.54554264628561,0.218775577415704,-1.07652087341146,-1.28392611861161,-1.31964488569251,-1.25300889082885,-1.16451324114988,-1.60877034333769,-1.44251983562696,-1.30865190788085,-0.353689475538898,-1.4590580045172,-0.992836910501551,-1.01766997301585,-1.41808515351875,-2.10307916200391,-1.43592852704517,-1.86940293644424,-0.169818790257894,-1.46433207942651,-1.72648027040585,-0.721257785863577,-0.361204398682529,-1.36074881819001,-2.82993607297442,-0.406613905294678,-2.74251236100971,-0.972521735260269,-1.34360641711738,-0.855617476377361,-1.5451265202528,0.305388626846356,-2.65685106542837,-0.283468750062822,-2.55324483731115,-2.57866028975008,-0.420476367404871,-2.28273866201256,-0.38688818135357,-2.61779587487858,-2.40042521866368,-1.30339667332521,-0.548380839066975,-0.461231748810023,-2.29590679630772,1.62186724019574,-2.14462053389688,-1.44476143792452,-1.54099821611124,-2.23094535351405,1.26325571290007,-1.15150735292654,-1.51592731606943,-2.33378098769366,-2.98312003930163,-1.32524665747408,-3.26743090137582,-2.26478718938497,-2.29428792982454,-1.82132456965599,-2.05926206401257,-2.27733806893897,-2.43444823682966,-0.744683320672334,-3.01685899452397,-0.19336522061434,-2.84037623217122,0.471997587514833,-2.75407248652961,2.95966845550822,-2.10650288870296,-1.49746566887011,-0.839291232559061,-1.66645858725543,-0.925376242205348,-1.41981539814771,-0.908060954196609,-1.18112774848155,-1.39522499493142,-0.0501791519214568,5.96759535469667,-0.877109245856161,-1.39336861193901,-1.7563887298753,-1.31610057282605,-0.817271791632899,-1.7490420725637,-0.860818710322174,-0.648822908677472,-0.138799525407862,-0.263818235062747,-0.652060036141176,-0.816659175904525
"297-60-3",-1.97935360023304,-1.17919942809052,-1.83129221775593,-1.65223146123017,-2.37699560816823,0,1.97011551474758,-2.47638064464429,-0.537474885905534,-1.11412384291869,-0.30800613471712,-3.48692042018475,-2.30762365337398,-2.57808434160631,-0.0845834139802205,-1.96102550982113,-1.4664241750679,-0.232043638106601,0.0106309276114508,-1.34066127022056,-1.72031248358589,-0.122773928390619,-0.961296054231769,0.132182162989839,-1.02153431762083,-1.61312821884779,-0.403329047088637,0.280419815776277,-0.128281096855375,-0.373034486717792,-0.0773199750435264,0.0306453330688608,-0.0780520376383387,-0.00802343946089435,-0.0644814457887262,0.29040815505643,-0.683317934190651,-0.131328247847011,-0.19884609408782,0.120492475275604,-0.213416760514148,-2.21555445186161,-0.130097917915107,-2.26939691595624,-1.27560543830398,-0.923107956868993,-1.04128516627687,-0.775985326050148,-1.85959633027757,-0.994635073599833,-2.54860281783186,-1.76680012367105,-2.31054751666753,-2.07449898072683,-2.26077987082815,-1.69713441173517,0.02744867303359,-0.214345415649242,-2.35314086544232,-0.772828753594101,-1.23825244444521,-2.5072003625434,-1.77990832796287,-0.579855138250758,-1.16427049195692,-2.32491460093761,-2.7529905683986,-2.09769433630404,-1.94767635461485,-1.45153201965683,-1.84758484245932,1.10149085706108,-2.21394768342962,-1.7972526965683,-1.80900467529208,1.73052761706587,-0.484083615169605,0.0819889038184724,-1.42982687063795,-2.31327571484435,-2.03470621555943,-2.11673575283399,-2.83755737200519,-2.37371200958934,-2.54740359153852,-0.926358422684133,-2.32431920824261,-2.2734728477818,-2.37820290758345,-1.70081396555377,-2.96012114291371,-2.04513249490114,-2.80490598184407,1.27934836617233,-3.13130052480118,4.81205737180797,-0.889099775820985,-1.73605791459283,-0.562887216005049,-1.72113879800455,-1.85824937102407,-2.35732539183583,-0.357022556168917,-0.961791204675547,-2.03177276641458,-0.662383073557195,9.88686243963905,-1.90346543743423,-1.20234945238804,-2.34032587168338,-1.77042809910112,-1.06403882923427,-2.36269070569233,-1.13675805103968,-0.89894098860552,0.531201151231699,-1.74631698718371,1.55069274846395,1.09804765590941
"298-20-3",-0.889822727313111,-0.348188043273096,-1.84187194766719,0.232611728138036,-2.13214170208695,1.97011551474758,0,-1.95444925964407,-2.51047553188624,0.0540382527505995,-3.09059908355725,-2.27730179142195,-2.73920689795427,-1.00454389228469,-2.04518287780563,-2.28075990889096,-2.25411163203472,-2.33527964865276,-2.2046920810311,-0.499596191268311,-1.97781445661721,-2.34105112669005,-0.899457627593883,-2.09788969813661,-2.14393745544674,-2.21647867179657,-2.39398406658583,-0.0549204848471848,-2.15546628565956,-2.20367358204216,-2.142898806685,-2.1060989826227,-2.03323175670335,-2.4008023559193,-2.33419933434083,-2.18225987087093,-0.593051095982713,-2.34668052864119,-2.10959591686886,-2.05029498747025,-2.40458097285974,-2.42593501299668,-2.29432084081132,-2.24594380589605,0.281424375381951,-2.15211669071609,-1.83323284477816,-0.938482822357198,-0.436987779858678,-1.71392552623575,-2.8295409020931,-0.569006760071646,-2.16466502805846,-1.53766844495432,-0.3547262962287,-0.710361928803133,-2.25924878260215,0.66783727166032,-3.28949551731745,0.47959277867034,-2.33687649108887,-3.32711335881672,0.196617457071295,-3.8932804555892,0.398256806574937,-3.73537508348215,-2.40472486317354,-1.07246675892176,3.54815976789624,1.3426918376909,-3.77276543836533,1.64152079977878,-3.10113803754765,-1.29540524641913,3.27105667662069,-1.26698378164953,7.95497729533577,-0.930084477186711,-2.14270216351896,1.51035910954017,-1.62723183587112,-0.59809235839977,-2.26830689891579,-1.97451050604249,0.361360776546828,-0.853942347888399,2.5410836477924,-1.48124544234889,-0.385979738291672,4.8138375579896,-2.51695718681219,5.88750313136938,-2.21170513020285,3.36498525774299,3.372494251154,3.47111367594882,3.59654160482983,4.80946259495635,5.02186343090566,3.24206843029043,4.38501283812341,6.63053842101135,4.48909700103414,4.75753478207512,5.4510707788441,5.34011718622368,7.03786882977231,5.85704262937713,4.38586179119181,4.131359396718,4.34348949706003,4.90227013171815,7.25069363005238,4.42953640350841,5.25260430398831,5.57494959273681,5.71732669678509,5.07393149430639,4.77629424604647
"298-200-3",-1.37906174972268,-2.00555237057826,-1.23311162257489,-3.85180468016075,-2.1472092414828,-2.47638064464429,-1.95444925964407,0,-0.834973051257934,-1.86519315703221,-0.117324013689463,-3.18809794760978,-1.16745308966974,-1.12477929641214,-0.178838130234016,-0.306093313167556,-1.23502252257735,-0.114708105946932,-0.401181757553399,-2.19738307225098,-1.52726833099124,0.0854832221473746,-1.24243827876856,-0.520539391059432,-0.0241028034833487,-1.58960102459152,-0.259384087939952,-0.240649427496266,-0.0709558063465501,-0.18850605676035,-0.347505978141821,-0.246232879115498,-0.393094168478285,0.0243096068747704,-0.540974220934689,-0.0744153636540189,-1.81831713244958,-0.145027357701975,-0.0553388677335043,-0.00157577179786196,-0.214465472530682,-0.814538129803752,-0.0948727319287772,-1.67560717704872,-1.90530418479061,-0.762746499839758,-1.03928992964059,0.234034560355618,-2.26138079211145,-0.199855116894416,-1.64664504614759,-2.36083180536348,-0.265441878800358,-1.87032980794358,-2.80359394946456,-2.51508572145717,0.303357660404956,0.0917706314324068,-0.636126080202165,-0.526754098978502,-0.711474832843064,-1.70246707761772,-1.70910987441196,-0.91162372288153,-1.20681756634657,-0.256860913800134,-1.66012747076268,-2.1165019245467,-1.8991813979137,-1.44497488417876,-0.394453637749574,0.80273036264077,-0.933408476428636,-1.76175842940442,-2.13987441163627,0.663352599971182,-0.461244072429822,-0.481300484526693,-1.08817440650722,-2.5108032807155,-0.557465138965745,-1.45183287366106,-0.809290212366942,-1.48422575228432,-1.7219288225888,-0.0773297335759592,-2.34354398540486,-0.872267005469458,-2.3913793295722,-0.245275551873496,-1.16856677811628,-1.76622285517517,-1.93352341537945,0.405433176611751,0.0354938870041015,1.80709821569978,0.341683361200793,-0.22994013159559,-0.137358042299087,-0.536352947622675,-1.30012462497444,-1.51927791526872,0.809846030999079,-1.35003938317535,-0.872902331585926,0.329599584579796,2.5439373369324,-1.61728926394116,-0.851608197234897,-1.01161390029376,-0.256135990206254,-0.14719061979531,0.302440786683168,-0.260965992606212,-1.21211437017153,1.67691805262206,-0.979388607340461,0.107180424580119,-0.0931834097762202
"300-100-3",-1.11164885879391,-0.934978285007027,-1.38092717974898,0.191508989426384,-1.91059283835424,-0.537474885905534,-2.51047553188624,-0.834973051257934,0,-0.537204765862313,-3.80628192978466,-1.48423953045311,-2.63030303905665,-2.49893138582186,-3.77857461425865,-3.75020693890933,-4.02720711220409,-4.46059139061169,-4.22511212007259,-1.43747183608516,-3.00129134414239,-3.21099917597909,-0.739303281609429,-3.53481300918583,-3.05754281390721,-3.21714972364904,-3.38379013802182,-0.35906798107247,-3.16884010719707,-3.43943570672064,-3.39139615600112,-2.83303844952042,-3.50156005283296,-3.57185321664285,-3.92908259081949,-3.30207793872658,-1.10220501543151,-3.09527413161609,-3.6098663351047,-2.6003238842844,-3.7582277884195,-3.41557861288354,-3.95829035738135,-3.23139553741117,0.446593259555365,-2.75023918695571,-1.57627536715899,-1.32955818945019,-0.766633015123375,-0.201349100254416,-2.61370187931778,-0.0811233855792927,-3.26322558358906,-2.22880376616657,-0.862039730449393,-1.12098410691518,-2.42614185881758,0.278582133151128,-3.29199624659718,1.44315397201166,-4.10291576493738,-2.55259945630421,0.140539961364614,-4.44655516278545,0.63104483945733,-4.12782234567718,-2.04828301671478,-0.151440192275154,1.15989747785447,-0.0184135858061044,-3.24564609704803,1.37639182743733,-1.43206433728616,-0.87662045497372,-0.136395597786908,-2.35218942430232,10.0738150834603,-1.90674877970036,-1.89330232724676,-0.446022279116688,-2.25832891404831,-0.743258630208544,-2.20810612654792,-2.29610666440539,-0.868721849368166,-2.04954108353371,-0.268575223483993,-1.86427879636844,-0.979535916310404,6.16206840290987,-2.12663899283837,7.25698014964056,-1.91952506496175,4.08983506256994,5.49094112605682,4.53068543004653,5.57400189297062,5.70754359396491,4.72568639631873,3.55291273032359,6.88234109928731,9.20349799654583,6.17372517986572,7.82944306918303,7.91281172923523,7.34574331675673,8.88367346693218,8.53432855567213,6.05313257262349,6.32152410746359,5.29460505081473,5.84622504372748,9.51722252047366,4.80160785190719,7.98877326815588,7.30902573429778,7.99978356593753,7.19605964812416,6.62071804510129
"300-20-3",-0.473001592834669,-0.432466551688354,-0.232740640967005,-0.0664209330191319,-0.674803523520092,-1.11412384291869,0.0540382527505995,-1.86519315703221,-0.537204765862313,0,0.693580392254831,-1.56333050259347,-1.2485084287068,-0.865666769719357,-0.0969872984616449,-0.888760318149983,-1.99209090211624,-0.195611413197392,-0.451999277551988,-3.03184677388248,-2.84230548531815,0.240371297442893,-3.2138273847168,-0.48150380977686,-0.634746476615885,-2.93727011194323,0.0306426259351021,-2.7749068336739,0.222184004478908,-0.196320926462093,0.020062580752116,0.0865597826525677,-0.370090028167798,0.138488705068052,-0.361070690618082,0.203335649085531,-3.97900203362,0.0279866233494283,-0.193857659902917,-0.0547234096084765,-0.113488393691075,-1.03619848590209,-0.0290393623451912,-2.11283572572446,-3.09854085239908,-0.933467998965401,-1.49388812987843,0.814728095047735,-1.88303583656635,-0.382303421526336,-1.6425472714599,-2.53023290810461,0.0329756766784956,-0.932738680285367,-2.8899119366734,-2.54202544476928,1.40707896866619,-0.035617300861153,-0.805472550431784,0.192973870367996,1.41961391533368,-1.47128122039868,-1.0839564248667,0.212090650793071,0.411215467266854,-0.548191196149182,-1.60911009919707,-1.51235662825291,-0.815300276558409,-0.954735420496683,-0.431216574164924,2.75155429064852,-0.767891060794883,-1.93891570335294,-0.67761291736257,1.17194772929591,2.0924395980082,0.262051035675867,-0.664130074479597,-1.34277755310294,-0.561509853763501,-0.829958870473546,-0.43306002256815,-0.33185753207827,-0.66727861104164,-0.0870882763126974,-2.10372420187356,0.0599103364492183,-1.00505552945363,0.44329312797804,-0.6876897145572,-0.936370232579829,-0.628528386568866,1.84774018646448,-0.0372166975291089,5.01001189531783,1.03059486489754,0.299742647980851,0.874942371560614,0.713757192377709,-0.0979242067743275,-0.560828545264594,1.89205457288663,-1.17103638318264,0.516505077999444,0.751850849454429,10.1304059902204,-2.36067939922027,0.613008615687681,0.645697700178706,1.06857117260645,1.40145431597594,-0.377808357706974,0.466693041748242,-0.63648527847822,2.01543027760144,-1.36096189733287,3.52472343616605,2.12296795260949
