"","296-100-3","296-20-3","296-60-3","297-100-3","297-40-3","297-60-3","298-20-3","298-200-3","300-100-3","300-20-3","300-200-3","300-40-3","300-60-3","302-100-3","302-20-3","302-60-3","304-100-3","304-20-3","304-40-3","304-70-3","306-100-3","306-20-3","306-200-3","306-40-3","306-60-3","307-100-3","307-20-3","307-200-3","307-40-3","307-60-3","310-100-3","310-40-3","310-60-3","311-20-3","311-40-3","312-20-3","312-200-3","313-20-3","313-90-3","314-20-3","314-60-3","314-95-3","315-20-3","315-65-3","317-100-3","317-20-3","317-40-3","317-60-3","318-100-3","318-20-3","318-40-3","319-100-3","319-20-3","319-40-3","319-60-3","320-100-3","320-20-3","320-200-3","320-40-3","321-200-3","321-40-3","321-60-3","322-100-3","322-20-3","322-200-3","322-40-3","322-60-3","323-100-3","323-200-3","326-100-3","326-20-3","326-200-3","326-40-3","326-55-3","328-100-3","328-20-3","328-200-3","328-40-3","328-60-3","329-100-3","329-20-3","329-200-3","329-40-3","329-60-3"
"296-100-3",0,-0.856749535997761,-1.77809257560761,-1.38198288871474,-2.62187026553922,-1.63932413550244,-0.942210822059585,-1.24933602308901,-1.27087961265725,-0.507215798631685,-1.4575604687084,-2.20308429068772,-1.54394949894197,-2.17773158930996,-0.859139429009881,-1.66336570978027,-1.6256894736576,-0.976624889747511,-0.917333375509958,-1.25818587516486,-1.68534412714229,-0.703877043085198,-0.541820412346138,-0.902180863714745,-1.10592474580145,-1.78985586071823,-1.04847083279297,0.718505102336425,-0.854771890553907,-0.909376092906586,-0.772673070102209,-0.501142134979204,-0.872023639089744,-0.874213196799407,-0.883406192951464,-0.653373173007764,-1.28800514643294,-0.852991397615401,-0.647372593079333,-0.760903635934235,-1.05266521355211,-1.78286520776138,-0.904095268631053,-1.86405065183066,-0.44270341356369,-1.67271011281615,-2.02103955754095,-0.815660204817426,-0.262366132847235,-1.13996677641049,-2.24385798283572,-0.738459301239576,-2.32296543964258,-1.42200858764288,-1.03910270766849,-1.58241054530018,-0.79602504349261,1.45943546987952,-2.23908022581446,-0.438324416299509,-1.5269953161604,-2.20190760613555,-0.532183608156088,-1.54042791983429,-0.678285118488638,-2.15037024799021,-2.2996367099653,-1.47160972504315,-0.89833717719897,-0.560596965695916,-1.81337007686452,0.144324985978205,-1.97972395309071,-2.03136654419296,-1.56013796123442,-0.319750532918514,2.58169085314832,-0.625397640993047,-1.088130607356,-2.13754399006542,-2.35732567109631,-1.62894665334954,-2.74477999475182,-2.17940594925893
"296-20-3",-0.856749535997761,0,-2.48646392248582,-1.76009816157872,-1.40707227332921,-1.02656432561774,-0.560857994034992,-1.91255195623423,-1.1236483169238,-0.565934176626693,-1.3372719654553,-2.48409155584559,-1.64730600637045,-2.26584082595406,-0.758698282321025,-1.69490624008693,-1.72188821302786,-1.16066449582062,-0.933640734420361,-0.801203020849116,-1.92825462572093,-0.775439537476964,-1.00973614234126,-0.883756184573827,-1.20677161932252,-1.80582921850509,-1.21969042860564,0.278173362288048,-0.917114610495882,-0.987783656604541,-0.686944798776969,-0.502968889797606,-0.718097302146456,-0.906437593207607,-0.828799126575455,-0.599643237175217,-0.854416820175231,-0.948630582458687,-0.680774366586779,-0.704413693220339,-1.10828478662545,-1.99041140543711,-1.00991393405622,-1.60075370143191,-0.374851900046692,-1.70829647575362,-1.56778874626608,-0.50635350819175,0.0558457259644264,-1.09205707075739,-2.108362330376,-0.492467107983954,-2.51893943493087,-1.53753261562301,-1.05323743815579,-1.54432458515604,-1.00144390874612,1.75943781299323,-2.37061741037005,-0.329236687213502,-1.37166215598079,-2.52610835675464,-0.950119315442123,-1.4843773095188,-0.741272918684328,-2.45129727412015,-2.55028387113521,-1.80135757298356,-0.997306075950231,-0.624669979063427,-1.76172184531394,0.831382694612952,-2.10823613276716,-1.748557928276,-1.71762052020031,-0.169991850787047,2.24497375455157,-0.52208267618025,-1.28970220919587,-2.28597817592422,-2.86117464596575,-1.75120389589584,-3.31462815245726,-2.55847288867155
"296-60-3",-1.77809257560761,-2.48646392248582,0,-2.32467227035787,-2.26411044260556,-1.58406880417281,-1.86140034932497,-1.2206491175961,-1.61488784684289,-0.475742541318398,-1.03020604224747,-2.86203066749065,-2.07117979789392,-1.22081951426747,-0.695660565900962,-1.2684481420793,-1.96903578193352,-0.926925772712288,-1.18385628081617,-0.82480599871109,-1.73886716526522,-0.57295263461684,-0.0349422375239467,-1.08257187782101,-0.947668813268435,-2.08112809138184,-1.04819218388136,0.453741636448118,-0.806833833466736,-0.802322372058,-1.03600364077691,-0.904198430450794,-1.1177594381842,-0.822099703054758,-1.14942435179358,-0.498016369909077,-1.24770124727627,-0.805759126221626,-0.566083572174162,-0.868661766694618,-0.993062869642119,-1.42766419601554,-0.858739155322206,-1.99120877470093,-0.287611194761013,-1.55825767541036,-1.87975822788633,-0.601786262996681,0.0420625592782061,-1.39341607551714,-2.44252078275237,-0.489948512417184,-1.8367869072835,-0.78951290751321,-0.991495578740533,-1.40903315513465,-0.665731832372156,0.988142670930067,-2.33922081750801,-0.236222420673819,-1.06395545746659,-2.74424616722952,-0.952276556206064,-1.91981915030359,-0.621074751136539,-1.9926497130201,-2.60445460137396,-1.72511077897212,-1.1936059156558,-0.852142255797122,-1.43699002893127,0.515120507792085,-1.92543525280065,-1.88172958954832,-1.79987199423904,0.437371427199653,1.53887855605128,-0.321375934780325,-1.233864151127,-2.1666397854114,-1.62732804564943,-1.6297795491508,-1.77619931178046,-1.50207569725278
"297-100-3",-1.38198288871474,-1.76009816157872,-2.32467227035787,0,-1.93570303449795,-1.62519164026617,0.176258269639411,-3.34869790398789,0.368833912979888,0.298952243588081,0.885681563196577,-1.92048004256222,-1.32723620756119,-1.22205355470578,0.670043280542722,-0.647125930201201,-1.05741976739477,0.703851634506798,0.615709234399167,-0.973944616844994,-1.29469262548041,0.794877147893596,-0.672841367065062,0.511599055442155,-0.551237442802265,-1.31211757497762,0.487063643842557,0.997145550341173,0.540494121056121,0.409499709473854,0.467561959873359,0.687574583245828,0.38592755942463,0.83680003108445,0.491641018433551,0.978768881892296,-0.0243389951626235,0.744753574017307,0.510946122517403,0.610122956071349,0.575152270116007,-1.04052747166826,0.862134920346416,-1.19130644901575,0.475810016829942,-0.705122688170835,-1.05001680220261,0.015199395892465,-0.448832741786641,-0.41339405469045,-2.00455002644342,-0.392383388958985,-0.35282559765497,0.0850226286386352,-0.242807456499737,0.0220713140491629,1.27091640232872,0.739696762740578,-1.01105669792937,-0.230504696005742,0.296662903450337,-0.734644999821349,0.0370539743110384,0.152209947053485,0.139495464524511,-1.1737035777372,-1.17911785457092,0.0297645424294483,-0.392248202658581,-0.230459815579142,-1.0071830677592,1.10201540157872,-1.37386457971072,-1.49423835033433,-0.334138781304602,2.56981706179501,0.408030347403333,1.80022654261358,0.234975218881106,-0.583657490275334,-1.0047039084118,-0.256005479745475,-0.815688616068028,-0.409329922501766
"297-40-3",-2.62187026553922,-1.40707227332921,-2.26411044260556,-1.93570303449795,0,-2.5249572195591,-2.21052965466919,-1.90786159591622,-2.02098478527525,-0.395214809586996,-2.65762519492748,-2.60440991373405,-2.47275289286044,-2.10623218779533,-1.46009569592435,-2.60655494638594,-2.55847132681576,-1.9205345630243,-1.89243803666598,-0.667582523007945,-1.64743946555813,-1.79808630409668,-0.96082750292784,-1.36554647069565,-1.46564177970772,-1.86484947364316,-1.67531923946418,0.365052940798228,-1.30268017690078,-1.40397778043238,-1.53638438793944,-1.18153889076727,-1.3585990210933,-1.82997866258856,-1.63086100579222,-1.45261882729055,-0.532117054651184,-1.53658096756251,-1.07312655557883,-1.13263375169607,-1.53096230246275,-2.58165717342677,-1.58918675519359,-2.22482577840523,-0.287472577939632,-1.70953687912316,-2.13135362285208,-0.706430628301332,-0.429305701256834,-1.70290553362014,-3.13113382810026,-0.658886815737766,-3.26783408679934,-1.06665976685377,-1.19001878078373,-1.28947432960448,-1.84728754630431,0.884618540471388,-3.01024591218738,-0.474800611430839,-3.00936605503713,-2.84635212441858,-0.647263404009956,-2.54085545565462,-0.422368584479903,-2.9763205210624,-2.75961002467826,-1.49416854394328,-0.694447835918735,-0.894495295113737,-2.67699560348098,0.840039572526098,-2.4144277768109,-1.87814623701532,-1.80008165655503,-2.12321468996093,0.773010631110036,-1.22110501092609,-1.6254575410179,-2.38008302346388,-3.34836808162954,-1.45814174691739,-3.40620498202103,-2.41221741897781
"297-60-3",-1.63932413550244,-1.02656432561774,-1.58406880417281,-1.62519164026617,-2.5249572195591,0,2.32175762177318,-2.00011610213057,-0.476155639278936,-0.605689741428101,-0.409607095172673,-3.36360777130143,-2.51624632445696,-2.72801763880181,-0.0773714764581828,-2.10548241477753,-1.8721022382491,-0.226665761696192,-0.131312436587436,-1.34632609966852,-1.99765022242051,-0.152073476857476,-0.724434672655558,0.177238112134451,-1.11513266168226,-1.69875781085978,-0.349415513089351,0.705744350389822,-0.139657953540696,-0.302865421159951,-0.0153418160355498,0.257442277629386,-0.0447745844850251,-0.0612338781337286,-0.120619729584462,0.312866853575945,-0.707059608380709,-0.0370640513336033,-0.11877507941193,0.177432176826364,-0.169242451699688,-2.43035846863033,-0.0535380813017032,-2.50008310491023,-1.37697363805817,-1.13463236178403,-1.3751185994029,-0.760955528534268,-1.89387405420246,-1.32259698268503,-2.95448102711762,-2.04558226888827,-2.90559390167695,-2.2340221714957,-2.3512869476278,-2.2761873524196,-0.0916379989024247,0.0643782803526864,-2.72748579953022,-0.975540037435997,-1.34885397057407,-2.81319042420756,-1.95087846162153,-0.685653825993046,-1.28320366801716,-2.64017368570533,-3.1498551193179,-2.31288825844731,-2.25012346212192,-1.88529309337022,-2.22007659626523,0.389678441813562,-2.48900191608212,-2.12831191543981,-2.15292500503283,1.81428542736471,-1.03376466099279,0.208348953185704,-1.57515512732557,-2.56581698752505,-2.75697665013732,-2.30062520817496,-3.03272213404884,-2.59651914494595
"298-20-3",-0.942210822059585,-0.560857994034992,-1.86140034932497,0.176258269639411,-2.21052965466919,2.32175762177318,0,-2.22397012314035,-2.60581220015772,0.140532875734898,-3.2131004287472,-2.19089387347729,-2.87422599148049,-1.14802673671715,-2.06786366574286,-2.25439779621376,-2.28218275066863,-2.35084362109289,-2.32343746773479,-0.60996902194232,-2.12369112118623,-2.40432968232703,-0.874317253723743,-2.16350434292861,-2.15082633862708,-2.33210545272516,-2.45770564681296,-0.166498486965298,-2.26417168254514,-2.2388447602501,-2.20110406641849,-2.12008938305577,-2.10063850950595,-2.52876485805569,-2.44410768595523,-2.21701009650921,-0.725186227085024,-2.37936303142849,-2.06172465652762,-2.0770840340948,-2.43086422032099,-2.5230241678653,-2.3694414532627,-2.39701163146344,0.132742108047229,-2.21849857994942,-1.90949570802729,-0.940295374824466,-0.415687627410499,-1.77322884572272,-2.81174075416185,-0.904054674751787,-2.39687941968521,-1.64650232867087,-0.172380845949583,-1.08308589364719,-2.38883990794434,4.78249466857727,-3.31574703197423,0.268390820497344,-2.42867055211653,-3.43199642778174,0.096253496386782,-3.96939406888527,0.251933113538619,-3.73521112275576,-2.49804123058825,-1.30864878722076,3.32464102107432,0.739818699723361,-3.9917243483069,1.21119246854437,-3.26989640180718,-1.55909629486041,2.95620800818259,-1.20950982847994,7.41122343768588,-1.16109237314601,-2.65094888649346,1.495356052142,-1.58109388200008,-0.694365282413821,-2.12382602156193,-2.12345887193857
"298-200-3",-1.24933602308901,-1.91255195623423,-1.2206491175961,-3.34869790398789,-1.90786159591622,-2.00011610213057,-2.22397012314035,0,-1.20999072813626,-1.79536065203505,-0.37194498016434,-2.93110218146902,-1.45326475976983,-1.00739339378955,-0.219063619869513,-0.331689127321892,-1.72253271847282,-0.201301848364209,-0.76572831646033,-2.33097994779954,-2.08676604778816,0.0457791944928814,-1.09881280183122,-0.796756350919707,-0.311383667288836,-1.9353178651332,-0.373885890219499,-0.064408235050657,-0.162376290143492,-0.186145368866207,-0.640549306848095,-0.519065626047267,-0.736962911066862,-0.0874672394902794,-0.873977151825911,-0.163535657474338,-2.03762647334823,-0.150048783513238,-0.0516256030837154,-0.281236619743725,-0.333299367189985,-0.838311478627386,-0.0693524867137166,-2.17304383538608,-2.2377148205668,-1.22183770803981,-1.75261179254751,-0.495600031199056,-2.57094298942611,-0.762082288523195,-2.42758388532251,-2.67311760107282,-0.832971891896663,-1.88653151231763,-2.6917059290607,-2.82829353369413,0.0929104047009271,-0.614755712182369,-1.06271812938018,-1.02387686610264,-0.617433703550761,-2.05780213898805,-1.76955184544477,-1.38822568090566,-1.60984517532771,-0.525252736557466,-2.00993258329435,-2.18567859482933,-2.15542865641011,-1.77953839196411,-0.591073100947277,-0.532721142771227,-1.27111004367128,-2.21043746277554,-2.41517555237534,0.394805734166749,-1.31452502505263,-0.66437622075623,-1.29108944347781,-2.48866776253432,-0.419374625000086,-1.53948572795879,-0.607360500697666,-1.20752830348196
"300-100-3",-1.27087961265725,-1.1236483169238,-1.61488784684289,0.368833912979888,-2.02098478527525,-0.476155639278936,-2.60581220015772,-1.20999072813626,0,-0.535333328265837,-4.20241172817198,-1.65014983083801,-2.68553899562032,-2.67920799052281,-4.06137004921173,-4.0351811415748,-4.71604241515876,-4.64881879092426,-4.38039882681842,-1.60201087667243,-3.40275107176244,-2.92471017605485,-0.642937966010741,-3.87528283969549,-3.62841600036824,-3.56116223354644,-3.69504785724255,-0.298129630908646,-3.6158659490181,-3.81214063455032,-3.69474570057524,-3.18637985714637,-3.94313254218479,-4.01540543419038,-4.18300544808912,-3.5688740577159,-1.29030663411487,-3.41896055340547,-3.60116005910539,-2.85116368526783,-3.77793624846165,-3.96221358630671,-4.34115457694285,-3.4541449036317,0.429071055759241,-3.14980862706949,-2.39035060070049,-1.34687645839872,-0.63205773126807,-0.991945805431722,-3.09130000027139,-0.295574754411202,-3.67498372127468,-2.33518897089268,-0.572006686418979,-1.17896390404195,-2.86911560733945,6.96178909473673,-3.71091944831792,1.07350058128249,-4.73706230736676,-2.72314541887134,0.224495560169343,-4.76364085045434,0.476098575110409,-4.29888892573864,-1.95351403792115,-0.1628676526245,1.28222490514355,-0.125254731360424,-3.77467776019374,0.899938677672994,-1.54200384950916,-1.37331492915749,-0.458887834175445,-2.45396141158912,10.5495491788512,-2.29315839821682,-2.31971286711113,-0.539331347292166,-2.4173085310743,-0.798084932567616,-2.34077708109753,-2.46437118619345
"300-20-3",-0.507215798631685,-0.565934176626693,-0.475742541318398,0.298952243588081,-0.395214809586996,-0.605689741428101,0.140532875734898,-1.79536065203505,-0.535333328265837,0,0.738703074706624,-2.03791064486509,-1.18498746801652,-0.35306802340027,0.172075161901263,-0.635363064717261,-2.06467519689199,0.0588132750105511,-0.415149976558762,-3.13128456743103,-3.0220762150707,0.76355434253677,-3.19599935382454,-0.375891682448516,-0.603360013098411,-2.90871068158388,0.378980179340701,-3.22737411665293,0.491335500402069,0.247309491328133,0.249686961361783,0.272957735238506,-0.317449713094222,0.415084513056637,-0.314702065286002,0.731738949132618,-4.19870342200854,0.397920431065613,0.141741091462402,0.0612395290426826,0.139390131283006,-0.608055511066596,0.352221725192263,-1.95796602492711,-3.19541160772671,-0.895862098094481,-1.39267158306363,0.414454080487468,-1.95871740470806,-0.362750028053439,-1.66553755407548,-2.83158015872637,-0.0418938301498494,-0.697424145149491,-2.63003093444768,-2.9017682648297,1.74726059334057,-0.580524405358162,-0.905891595205896,-0.115632009183164,2.03090669154626,-1.4773271858851,-1.30037352841128,0.0648251574276457,-0.140686091062142,-0.45848109186921,-1.66432644731415,-1.56818129623625,-1.10908306337295,-1.51765772276661,-0.499679194427117,1.26651197386103,-0.784109790959752,-2.0982188240309,-0.947017190660445,1.47840412827259,0.6886158326409,0.420359455301757,-0.738698540723929,-1.31931297366951,-0.347432648726892,-1.29554706253563,-0.193478559023847,-0.0188032132422188
