"","1_P1-100-3","1_P1-20-3","1_P1-200-3","1_P1-40-3","1_P1-60-3","2_P1-100-3","2_P1-20-3","2_P1-200-3","2_P1-40-3","2_P1-60-3","3_P1-20-3","3_P1-200-3","3_P1-40-3","3_P1-60-3","4_P1-90-3","4_P1-20-3","4_P1-100-3","4_P1-200-3","4_P1-40-3","4_P1-60-3","5_P1-20-3","3_P1-90-3","5_P1-100-3","5_P1-200-3","5_P1-40-3","5_P1-90-3","6_P1-100-3","6_P1-20-3","6_P1-200-3","6_P1-40-3","6_P1-60-3","7_P1-20-3","7_P1-40-3","7_P1-60-3","10_P1-20-3","10_P1-40-3","7_P1-105-3","7_P1-200-3","8_P1-100-3","8_P1-115-3","8_P1-20-3","8_P1-200-3","8_P1-40-3","8_P1-60-3","9_P1-100-3","9_P1-120-3","9_P1-20-3","9_P1-200-3","9_P1-40-3","9_P1-60-3","10_P1-100-3","10_P1-120-3","10_P1-200-3","10_P1-60-3","11_P1-100-3","11_P1-20-3","11_P1-200-3","11_P1-40-3","11_P1-60-3","11_P1-70-3","12_P1-100-3","12_P1-20-3","12_P1-200-3","12_P1-40-3","12_P1-60-3","13_P1-100-3","13_P1-20-3","13_P1-200-3","13_P1-40-3","13_P1-60-3","14_P1-100-3","14_P1-20-3","14_P1-200-3","14_P1-40-3","14_P1-60-3","12_P2-100-3","12_P2-20-3","12_P2-200-3","12_P2-40-3","12_P2-60-3","15_P2-100-3","15_P2-20-3","15_P2-200-3","15_P2-40-3","15_P2-60-3","17_P2-100-3","17_P2-20-3","17_P2-200-3","17_P2-40-3","17_P2-60-3","6_P2-100-3","6_P2-20-3","6_P2-200-3","6_P2-40-3","6_P2-60-3","8_P2-20-3","8_P2-200-3","8_P2-40-3","8_P2-60-3","20_P2-100-3","20_P2-20-3","20_P2-200-3","20_P2-40-3","20_P2-60-3"
"1_P1-100-3",0,-0.410710381300205,0.340913150673259,-1.12848614376588,-0.978129779465381,-1.41247634528901,-1.80386386527627,1.65489363315081,-1.90453290229989,-1.21448958899566,-1.59850009486759,-0.537968687966352,-0.112890104298882,0.0972129153180059,-1.45463144113786,-1.05805450731017,-1.86721704414427,-1.77344644296769,-0.863205621460917,-0.761471763463329,-0.709397001367702,-1.07962104653955,0.0900985417803751,1.02714144086196,0.119238266382972,-1.73003148035309,-1.36775524579107,-2.36077547797763,-1.72801239100073,-2.29725563475201,-1.51675437415894,-1.54732505974935,-1.78965974596237,-1.36174612995099,-0.0848498344412543,-0.966564749271171,-1.02365644354602,-0.769116864986049,-1.24746087871673,-1.42086017093434,-1.34589366815419,-0.762308943801517,-1.15414598744495,-1.38376537406053,-1.39403785712762,-1.21195698269081,-1.01418160104989,-0.654525768012621,-1.49273288851725,-1.16143781065338,-0.563951582638411,0.0993489329560449,-1.11663833361584,-0.43431429474868,-0.38063043465262,-0.313712233470425,-0.409749639861382,-1.18210040384075,-0.363036115521806,-0.140550968902789,-0.411112852981765,-1.38473928696559,-0.764072286394893,-1.33706147197622,-1.4935153370706,-1.50881418911941,-1.22658360722996,-0.188053477771135,0.296674765215754,-0.921905426553327,-0.519951336831099,-0.823652171011326,1.03107779724095,-0.930262703543722,-1.32488860102015,0.156827995540367,-0.153209842903564,-0.224419073420482,-0.796239708226589,-0.35847834334948,-0.134823213759154,-0.342667864042401,-0.304011426533365,-1.40039356911561,-0.761973756507039,-0.283382879697868,-0.35327545538383,0.028115534239311,-0.112257264639427,-0.969257303675108,0.363503510492529,2.28891788668947,0.544851668293,0.359664649223085,0.842140122820634,0.28269447272317,0.393981820444094,0.136944646948617,-0.306401589485513,-0.74737874453886,-0.501243343259162,-0.00329910206229286,-1.24189929739192,-0.109900145180352
"1_P1-20-3",-0.410710381300205,0,3.48317073300335,-1.62197929590985,-1.24273429238058,-0.147972841391093,-1.42948487991022,1.57507262447563,-0.982788781368867,0.00108733902162986,-1.2410828509454,2.95049510827064,-0.111191073863694,1.21081656079512,-1.06977438591111,-1.61034060242341,-0.870505658832071,1.95244455965807,-1.53485629587276,-0.538136731437497,-1.24977005108363,-1.02710214680906,-0.37872839612686,0.649455187820746,-0.896453962379611,-2.53056866548491,-0.620075816322053,-1.88618906873763,0.840941049302059,-1.37073622279985,-0.628296713550173,-0.0212987469528988,-0.677007066488256,0.0545932733518047,-0.541799701472772,0.451257236411083,-0.712781002192824,0.41273565662422,0.197412046025214,0.00772011558140569,-0.352410514922954,1.53566216981613,-0.628097176218604,-0.131351209924291,0.531696677341606,0.703043530497557,0.215518167454506,1.36979393179277,0.0174111366542061,0.0339926836644127,-0.0880275595958335,1.03343600563968,1.04171298272444,1.12787771748902,0.651796493914375,-0.137381365197458,1.25173970854731,0.101650564545296,-0.144645225164529,-0.00499787782138434,0.744364785970003,-1.36966700289112,0.363487875172081,-0.878043245858765,-1.16804153549692,0.231388495638636,-1.04888452502484,1.25501350617146,-0.871609925033588,-0.357646405405652,0.359632148076466,-0.586972223093286,0.379735116495499,-1.2533197848064,-1.27204227194957,1.39008845272058,-0.187395984837646,0.70658337354225,-1.20865492751171,-0.599498878169321,0.00437875933617074,-1.30608382551974,-0.0635844509857436,-1.32884038014081,-1.40907186465172,0.44596212002276,-0.706755288878323,1.00376701603265,-0.753908200690886,-0.93378019970496,-0.292849847435363,1.76899589654904,1.16938071383774,0.799590205388855,0.626618776233435,0.977195621485506,0.962503578803728,-0.209853951059248,-0.285453534934657,0.697737886063115,-1.19488924945088,0.0772809255822025,-1.39098792757088,-0.182591725577987
"1_P1-200-3",0.340913150673259,3.48317073300335,0,2.09098191492955,0.0919579929024485,0.632636337082653,2.93249481459485,-1.40331664253911,1.29420052421815,1.77162897575348,2.42731078783434,-0.486930303360891,1.82057222285315,1.39390885067916,-0.0817210958849712,2.40644701949432,-1.11965581532576,-0.810471847255871,1.51013729606904,2.19974150547328,2.72825300170972,-0.797250237360697,-0.017338616804446,-0.71221712343446,2.71935272137792,2.21229803185149,-0.85264910229398,2.18604631631869,-0.932420457223308,1.843408382851,1.04620535875381,1.95270443811067,2.17662126150213,1.07059919993398,2.15462934123538,3.61629665342404,0.358553017381565,-0.132594985362145,1.63171037958361,2.53873636816091,2.78653199966814,0.427750564740226,2.6689770109962,2.3460922375232,0.517231499121453,1.54778725111609,3.40904701118827,0.370517344524848,1.6507490730453,2.27884559086289,0.268782491693064,0.938916005007026,0.857732170384038,2.17389261522646,-0.0626638903527591,0.755830557601902,0.782916167484012,0.189577679497604,0.764943457428475,0.925261364061379,0.896776479944089,2.19044875111621,0.631035337556784,1.55938749118692,1.40354255763166,-0.509050412940395,2.29375358846304,0.859741888713198,0.592693124135939,0.559117820728977,1.61501875980027,2.24072789834752,0.422317165340204,1.69488234691237,0.866619767664062,0.381734474911061,1.54835904863774,-0.736093100316767,0.653834424331707,0.959062353615939,0.073667906050242,0.947241846902693,-0.885798453902782,0.548126733239379,0.718093523622745,1.13397067580169,1.71365812319011,0.485051195561903,1.88495770477856,1.80248439296289,1.94109975200252,2.75428924114218,1.06598488495177,2.14729265695154,2.02074502869765,2.42159870354777,0.146711837609622,1.48997441366219,0.643448948536911,0.892808435312787,0.802189712984197,0.284967806906758,0.700444958953993,1.94227637879955
"1_P1-40-3",-1.12848614376588,-1.62197929590985,2.09098191492955,0,-3.47956585113521,-2.02443189043907,-3.25064104715354,2.27161721294219,-3.83314551227244,0.0339882978722618,-2.94224496166057,1.61572498751031,-0.708064669093153,0.882829014975422,-2.06262614489204,-3.50071948761318,-1.69511036546685,0.478703528464566,-3.09094838276405,-1.61683083567194,-2.38603769000803,-2.1669026581705,-0.992529807733981,0.376017456888374,-2.14859606314841,-2.83700655322843,-1.32513079817455,-2.37880801622323,0.546803028129841,-2.37282429241822,-1.84224242640666,-1.7425687057793,-2.61838017697166,-1.49227600475477,-0.546610891439751,-1.80196502030888,-1.31156848412694,0.243899363553557,-1.85314409381508,-2.44007883263716,-2.44616592191454,0.468326114558229,-2.90917340480655,-1.77912284633017,-1.79494370120198,-0.777629511980376,-2.20595290629514,1.06777659372362,-2.09460113695752,0.296651488409206,-1.04187352496469,-1.21772950698847,0.309302457373591,0.181577349080909,-0.678849870350277,-1.61991565033283,-0.534017006582733,-1.82228008874961,-1.53274845454322,-1.64513621184682,-0.224758709409,-1.97416076769759,-0.60424092495432,-1.78349802243409,-1.82838791597487,-0.673526788488152,-1.42868540176009,2.94430909273473,-0.959557380417327,-0.666717032546227,-1.23735512095133,-1.29945684145959,0.0647980001983736,-1.68667691284136,-1.69186961469873,0.287736417664799,-1.67069864178605,2.85585752007221,-2.08503202780393,-1.54352403830724,-0.255855170618176,-2.06584937239021,-0.333813713077971,-1.92299052436259,-1.84383234537905,0.0803145123234154,-0.822722019548728,3.02690356414098,-1.50845359662273,-1.49037272135179,-1.64107788154744,1.75495532159555,0.297667130315964,0.648245037956275,1.16299300533492,1.12924282668819,0.283444067528625,-0.470794719849835,-1.52514149952926,-0.103778597743674,-1.77659202336359,2.00789785194582,-2.07098420285197,-0.676624756761763
"1_P1-60-3",-0.978129779465381,-1.24273429238058,0.0919579929024485,-3.47956585113521,0,-1.39645411619952,-3.16400531427933,0.243811262959053,-3.46859958430047,0.355741984077443,-3.53646884689577,-0.111798508676091,-1.64314774936223,0.283563909004622,-2.30850768812713,-3.90163522668016,-1.86456733595353,-0.21168545038248,-3.32688812501755,-1.88000041507443,-2.77817511736398,-1.88432162372396,-0.910204521475828,-0.23230504751186,-2.71332601134728,-3.07515094936834,-2.02408341453706,-3.61903699203945,-0.748432104021603,-3.2743188555556,-2.26158431875682,-2.49457199405928,-3.09390437255411,-2.0721029831168,-1.52656544222954,-2.29912620195626,-0.417736384046767,-0.824375301292033,-2.5979875495198,-2.09973015090477,-3.12189016491109,-0.210169253533319,-3.00809458989955,-2.28109771556579,-2.09282804638901,-0.942010367358829,-2.97319007814654,0.560554093452678,-2.63435404518382,0.214002164836898,-0.785603859597688,-0.937499582613233,0.175442909630677,-1.13872039130907,-1.09791503448889,-0.88025101356696,-1.18907428621576,-1.86449410441778,-1.00602369774326,-1.32063800278234,-0.767487552086205,-2.57413056260159,-1.13580536726666,-2.27494583091554,-2.36083245111323,-1.62070584632248,-1.8786719690568,4.04573883663335,-2.11875156869369,-1.59812795658973,-2.11919172598611,-2.17298808004132,-0.937467208772086,-2.62213735978817,-2.50965232989064,0.476326058745869,-1.1170584288635,3.75810698316634,-2.20270678172559,-1.39681415625203,-1.47218223580587,-2.5874217095877,-1.39744583455209,-2.47384794466709,-2.54777362480706,0.343148058200969,-0.720742363996042,4.03605963122865,-1.92996298136006,-1.79164256175123,-1.23905550500573,1.85138994907152,0.427385740991232,0.872985688039451,1.166800462331,1.46933501505336,0.403219944899016,0.22599808343601,-1.26073979813741,-1.6645055025835,-2.38786983825106,2.48503389242697,-2.72870044433349,-1.15006016453841
"2_P1-100-3",-1.41247634528901,-0.147972841391093,0.632636337082653,-2.02443189043907,-1.39645411619952,0,-2.31709094730942,2.05316961209566,-3.14516936860071,-3.14709724603784,-2.60885859909606,-2.10937890067214,-1.61352424029462,-3.07617783087844,-3.02934831760245,-1.24980188583398,-3.00694424289299,-1.18547461241984,-0.961377964629228,-1.81993262101192,-0.506847903598207,-2.96213923734762,-1.7860093464179,0.524207433022745,-1.45384986667076,-1.44185076856949,-1.96052803718325,-3.71028534330454,-1.55558341385079,-3.5597393530684,-2.75670910375131,-2.37291749965661,-3.03444338520577,-1.30695077578191,0.427227220153397,-1.66460770811222,-0.537501594427599,-1.61016188306505,-1.90082431887025,-2.40400063579056,-0.925348558248961,-0.822085706757944,-1.63407062979847,-1.16110276719681,-2.32627817737352,-0.825126180085117,-3.08728794209221,-0.153477377866173,-2.11852949409257,1.00567794209666,-1.0070093310768,-1.39275024358373,-0.872721900902976,-2.15201339716915,-1.19088321662119,-0.9795946380076,-1.42513579386835,-3.10214770101411,-2.65283596689579,-2.42781779867869,-1.54597492206033,-3.21479742937542,-1.85184663820931,-3.00198355925603,-2.99476066339421,-2.93128019887554,-2.82202135787871,1.39030348532995,-3.30220376883943,-2.23155644571126,-2.30388858695634,-2.46865850199376,0.463680607683654,-2.8038488890064,-2.83856175073761,-0.045589879117295,-0.51840434123175,2.83031621166091,-2.49231147944628,-2.10439299025993,-1.99222070287869,-0.941803588703675,-0.720894634578243,-2.09083653599083,-2.17862223784816,-0.759771426010322,-0.552330147603993,1.77375785441407,-0.858104389439319,-1.74899292044494,-1.19975037874541,2.29875895148054,0.819635182461686,1.17932574883533,1.92604549162073,1.31680892184105,0.358884395678493,0.725897150418856,-1.45951545948569,-2.60609466795333,-1.98827562534164,2.09484701368099,-2.30009323560575,-0.749760823396861
"2_P1-20-3",-1.80386386527627,-1.42948487991022,2.93249481459485,-3.25064104715354,-3.16400531427933,-2.31709094730942,0,3.48474969713757,-1.61004319060705,-2.28972471820921,-2.41010476003739,1.95132966032939,-0.356685476828245,-0.855891982021852,-1.9954901790654,-2.39671576204229,-1.73114748856501,0.362062386301749,-2.0610990196797,-1.70877882136171,-1.30563414676454,-2.63643113585829,-1.23364480714829,0.0108772156625875,-1.50627491435365,-3.02092353048177,-1.55013121049171,-1.7186733680867,0.375606109065592,-1.96460407615944,-1.6309422714281,-1.5591215024217,-1.84039067016583,-1.74377167557273,-0.358056621167655,-1.67827003213576,-2.30177063102147,-0.548971574435649,-2.29598028114198,-2.71043234533051,-1.3115916132165,0.0109326793305682,-1.92774111066126,-1.76132332867332,-2.35283832351779,-1.67272535161463,-2.08088598147783,0.522359642628987,-2.2761285772137,-0.600110308639303,-1.40365214238904,-1.97866992116349,-0.374416695521983,-0.725586402466499,-0.9123305210386,-1.57774402770945,-0.884323604423709,-2.0615788099894,-2.09634110691443,-1.89286987172594,-0.293034969415959,-1.90427100251263,-0.771429452009254,-1.82584174503263,-1.77147285954822,-0.586253711223928,-1.54021022246691,2.76417009774204,-0.969664641592252,-0.82657562462942,-1.35329851341894,-1.42397350533726,-0.59482226289382,-1.54691023924069,-1.70447349954455,-0.374371600535286,-2.1950798031539,2.40881359850572,-2.38106870898075,-2.05315858721047,-0.754743402880328,-1.89648400673911,-0.630899786155378,-2.13931657705049,-1.77947462934784,-0.526778051020083,-0.823675892759323,2.69021331660685,-1.39742682957199,-1.37033331644523,-1.91369067208566,1.88792358464459,0.43133740999251,0.292585121548283,1.14778046675487,-0.0585327225763399,0.0433419815070315,-1.22578207701897,-1.93462953153812,-0.257648842008304,-1.69811417331108,1.99085312184826,-1.8793940068421,-0.984220405939711
"2_P1-200-3",1.65489363315081,1.57507262447563,-1.40331664253911,2.27161721294219,0.243811262959053,2.05316961209566,3.48474969713757,0,2.38685075590193,3.24590635761638,3.20336379425099,0.236589241786296,3.28999365400803,2.84838405001158,0.817849441403958,2.49474781064211,-0.729059590835923,-0.956009329805394,2.47597045989483,3.23197864623369,3.8511815983056,0.831163486127883,-0.747089740339552,-1.36232558688575,3.24828910434407,3.02791910145526,-0.278443558560518,1.90196405510762,-1.40974889382537,1.45424294558226,0.761402623915334,1.58814106791542,2.65696095189182,1.41616895572907,2.1768502182237,3.70339137863455,0.460196343359876,-0.632246433496771,1.17708170736605,2.00166399415723,2.56833537624061,0.4030215652741,2.42219386899084,2.45944053815637,1.08068044796973,1.95995626238033,2.95198810890085,-0.277270514209775,1.87224350446679,2.11344307845263,-0.159604802532611,2.49221719539138,0.755938690877448,2.94613724470346,-1.24375283273133,0.493183150165926,0.259241409363416,0.321135393581409,1.6796488766486,1.73564622719692,0.69122414523779,2.66915788482843,-0.296808996993809,2.39039842650302,3.53529790489032,0.472331415848172,3.4726864708363,-0.469216622291668,3.57117692195191,0.411645392287757,1.29357249538129,2.19049801868969,0.0347048475384015,2.17047472470541,1.06448630035587,-0.660676525109845,2.16940672229444,-1.26570367426463,1.12786407465456,1.64605272626074,-0.124777762683082,1.70585381605947,-0.560801131923705,1.22639944781074,1.54077735067312,0.190382510331269,2.04053950377473,-0.738141628125623,2.16245923510334,1.67340622718021,2.33673908531394,1.9328596329673,-0.690266789797161,0.943767389465361,0.837038115777765,1.57774989373513,-1.16233504342117,0.67782956841984,0.428409548003894,-0.515925306814274,1.61709795438183,0.701664828288323,1.16202628708548,2.60275065568563
"2_P1-40-3",-1.90453290229989,-0.982788781368867,1.29420052421815,-3.83314551227244,-3.46859958430047,-3.14516936860071,-1.61004319060705,2.38685075590193,0,-2.35154591369018,-2.41114768010795,0.733049893095879,-0.291871477636119,0.858359327498412,-2.29655276908601,-2.44502964430668,-1.94398450248724,-0.127578620770494,-2.11428461885258,-1.66382264445673,-1.19858366136337,-3.04438627895212,-1.15057577739284,0.216802633839134,-1.52767752341237,-3.11481900064727,-1.61034985132278,-1.86565123688188,0.118390584454808,-2.20161291306332,-1.82660017430494,-1.35345036651317,-1.95123595609157,-1.49554327085628,-0.300414777953467,-1.63993488374149,-1.5522943939609,0.000551951874906688,-2.04002911850206,-2.93325251482936,-0.733221423726462,0.0212936656379111,-2.00800999604862,-0.744864113565124,-2.50445940063964,-1.63888045534634,-1.66813574459561,0.401675111235297,-2.37243534922107,0.684978608902091,-1.35818004803217,-2.17689362906491,-0.606364618875194,-0.416325422076992,-1.65026751249727,-1.70545564407119,-1.15863450638435,-2.27587218127719,-2.0234456227843,-2.03024469187099,-1.0460673361899,-2.29923970149546,-1.36620063558401,-2.12956437579665,-2.11771859031906,-1.38341800914015,-1.95977283653389,2.19161883714953,-1.96947745489053,-1.56544069370858,-1.2517039636106,-1.72040289985318,-0.587039557114569,-1.93543611929361,-2.12411144706322,-0.672656552201346,-2.15142662888598,2.56382534295225,-2.40361603710713,-2.15482111568606,-1.31645152541857,-2.02049679278154,-0.805657176845033,-2.35164679724341,-2.14535656524171,-0.480478415381656,-0.730486966463063,2.62986842724206,-1.42540964816635,-1.57982773970508,-2.11740482605283,1.30848100924044,0.100126538579131,-0.217244762310109,1.01215434791455,-0.0953114085116166,-0.320122360407149,-1.31885711340705,-1.97624333558879,-1.25133915364356,-1.96079481882839,2.18528086914706,-2.21288729417193,-1.28962650549094
"2_P1-60-3",-1.21448958899566,0.00108733902162986,1.77162897575348,0.0339882978722618,0.355741984077443,-3.14709724603784,-2.28972471820921,3.24590635761638,-2.35154591369018,0,-3.60017394908197,-0.581251491977984,-0.993568241530793,-1.51848561454052,-1.50637506415198,-2.07056252201509,-1.25624883267413,-0.792492510450278,-2.22706864900722,-1.58699678022105,-1.28628155821358,-2.76302972481792,-1.34650539936191,-0.00274607261114209,-1.55902259068353,-2.27638630448176,-1.3899346720833,-1.6083102376597,-1.33912640651387,-1.87263291909092,-1.23220341713793,-3.28051228070005,-3.67357238439646,-2.25811323484854,1.83699216671119,-2.26536031268348,-2.39295891172626,-1.03211267064562,-2.94934601348722,-1.9293758237541,-1.45381215409039,-0.640357301311605,-2.15266939566663,-2.05432239397121,-2.65860606526046,-1.46955110611737,-3.41885791505851,0.365543097047242,-2.23609487905114,0.641177389436661,-3.09839323884541,-2.47505373650777,-0.495421737282726,-1.84093107912811,-0.864713319753664,-0.476100107795134,-1.00797519979419,-2.24382857488134,-1.5737773691414,-1.41382385198022,-0.719354985122227,-1.90148024363347,-0.922693630448602,-1.7354971602037,-1.92326816576423,-1.57022781794698,-1.49220466056115,2.96071892112452,-1.57470688364313,-1.07317642240694,-1.22913001447464,-1.10425747433747,0.4267277417322,-1.40050866610789,-1.600921211745,-1.3246909216015,-1.56277716084034,1.46091513164002,-1.76536992731387,-1.5527973630438,-1.46096793722974,-1.36884644142129,-0.593086199028268,-1.65109655389017,-1.59513068701341,-1.53298155481317,-1.03854527869729,1.3134591798337,-1.13234093567171,-1.21263197282946,-1.1622358754154,1.92051233371795,-1.03518646412461,-0.474674411888902,0.572369963555915,-0.743643207943327,-0.873368867033682,-0.820220017563066,-1.62698685189301,-1.98710064497915,-1.25073279824909,1.88426260049388,-1.51702669629301,-0.611841576668979
