"","296-100-0.22","296-20-0.22","296-40-0.22","296-60-0.22","297-100-0.22","297-20-0.22","297-40-0.22","297-60-0.22","298-100-0.22","298-200-0.22","298-40-0.22","298-60-0.22","300-100-0.22","300-20-0.22","300-200-0.22","300-40-0.22","300-60-0.22","302-100-0.22","302-200-0.22","302-40-0.22","302-60-0.22","304-100-0.22","304-200-0.22","304-40-0.22","304-70-0.22","306-100-0.22","306-20-0.22","306-200-0.22","306-40-0.22","306-60-0.22","307-100-0.22","307-20-0.22","307-200-0.22","307-40-0.22","307-60-0.22","310-100-0.22","310-20-0.22","310-200-0.22","310-40-0.22","310-60-0.22","311-100-0.22","311-20-0.22","311-200-0.22","311-40-0.22","311-60-0.22","312-20-0.22","312-200-0.22","312-60-0.22","313-20-0.22","313-200-0.22","313-60-0.22","313-90-0.22","314-20-0.22","314-200-0.22","314-60-0.22","314-95-0.22","315-100-0.22","315-20-0.22","315-200-0.22","315-40-0.22","315-65-0.22","317-100-0.22","317-20-0.22","317-200-0.22","317-40-0.22","317-60-0.22","318-100-0.22","318-20-0.22","318-200-0.22","318-40-0.22","318-50-0.22","319-100-0.22","319-200-0.22","319-40-0.22","319-60-0.22","320-20-0.22","320-60-0.22","321-200-0.22","321-40-0.22","322-100-0.22","322-200-0.22","322-40-0.22","322-60-0.22","323-70-0.22","324-200-0.22","324-40-0.22","329-20-0.22","329-200-0.22","329-60-0.22","330-20-0.22","330-60-0.22","298-20-0.22","323-20-0.22","323-200-0.22","326-100-0.22","326-20-0.22","326-200-0.22","326-40-0.22","326-55-0.22","330-100-0.22","330-200-0.22","302-20-0.22","321-100-0.22","321-20-0.22","321-60-0.22","322-20-0.22","323-100-0.22","324-60-0.22","329-100-0.22","329-40-0.22","330-40-0.22","178-100-0.22","178-20-0.22","178-200-0.22","178-40-0.22","178-60-0.22","179-100-0.22","179-20-0.22","179-60-0.22","193-100-0.22","193-20-0.22","193-200-0.22","193-40-0.22","241-100-0.22","241-20-0.22","241-200-0.22","241-40-0.22","241-60-0.22","262-100-0.22","262-20-0.22","262-200-0.22","262-40-0.22","262-60-0.22","267-100-0.22","267-20-0.22","267-200-0.22","267-60-0.22","287-100-0.22","287-20-0.22","287-200-0.22","287-40-0.22","287-60-0.22"
"296-100-0.22",0,-1,-1,-1,-0.98,-1,-0.96,-1,-0.64,0.03,-1,-0.65,0.83,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,0.96,0.81,1,1,0.96,0.81,0.89,1,0.96,-0.48,0.92,-0.1,-0.49,-0.2,-0.8,1,1,1,1,1,1,1,-0.53,0.68,1,1,1,1,0.99,1,1,0.78,0.15,-0.46,-0.75,-0.63,-0.76,-0.65,-0.83,0.12,-0.38,-0.04,0.22,0.02,0.19,0.19,0.21,-0.13,1,0.22,0.45,0,0.55,1,0.19,0.08,-0.16,-0.12,0.16,0.03,0.33,0.44,0.99,0.32,0.37
"296-20-0.22",-1,0,-1,-1,-1,-0.99,-0.89,-1,-0.9,-0.53,-1,-0.87,0.73,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,0.9,0.2,1,1,0.76,0.71,0.81,1,0.94,-0.53,0.85,-0.42,-0.53,-0.47,-0.89,1,1,1,1,1,1,1,-0.67,0.46,1,1,1,1,0.98,1,0.99,0.55,0.18,-0.48,-0.73,-0.53,-0.86,-0.76,-0.85,0.21,-0.28,-0.02,0.11,0.08,0.42,0.18,-0.21,-0.14,1,0.4,0.61,0.08,0.64,1,0.09,-0.07,-0.25,-0.08,-0.07,0.02,-0.02,0.56,1,0.34,0.47
"296-40-0.22",-1,-1,0,-1,-1,-1,-0.93,-1,-0.92,-0.43,-1,-0.89,0.76,0.86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.93,0.92,0.32,1,1,0.82,0.77,0.86,1,0.94,-0.54,0.91,-0.33,-0.45,-0.4,-0.92,1,1,1,1,1,1,1,-0.58,0.57,1,1,1,1,0.99,1,0.99,0.67,0.25,-0.43,-0.66,-0.56,-0.72,-0.81,-0.85,0.27,-0.2,-0.05,0.22,0.08,0.48,0.15,-0.04,-0.12,1,0.36,0.6,0.08,0.69,1,0.1,-0.08,-0.26,-0.1,0.03,0.03,-0.05,0.49,1,0.31,0.42
"296-60-0.22",-1,-1,-1,0,-1,-0.98,-0.8,-1,-0.96,-0.63,-1,-0.79,0.8,0.95,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.96,0.96,0.52,1,1,0.91,0.87,0.93,0.94,0.97,-0.41,0.67,-0.16,-0.32,-0.29,-0.82,1,0.9,1,1,1,1,1,-0.57,0.21,1,1,1,1,1,1,1,0.74,0.48,-0.2,-0.67,-0.44,-0.84,-0.73,-0.8,0.46,-0.07,0.16,0.29,0.26,0.65,0.3,-0.08,0.04,1,0.58,0.73,0.23,0.78,0.99,0.25,0.03,-0.14,0.1,0.01,0.21,-0.11,0.65,0.99,0.44,0.61
"297-100-0.22",-0.98,-1,-1,-1,0,-0.9,-0.53,-1,-0.99,-0.97,-0.81,-0.12,0.91,1,0.97,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,1,0.99,1,1,1,1,1,1,0.97,1,1,0.95,1,1,1,0.99,1,1,0.96,0.99,0.98,0.99,0.99,1,1,0.99,0.96,0.9,0.99,-0.16,0.62,0.67,0.25,0.54,-0.27,1,0.91,1,1,1,1,1,-0.38,0.29,1,1,1,1,1,1,1,0.97,0.85,0.76,-1,-0.78,-0.99,-0.79,-0.99,-0.34,-0.47,-0.33,-0.06,-0.12,-0.25,-0.04,-0.27,-0.26,0.84,-0.21,0.02,-0.43,0.15,0.37,-0.1,-0.29,-0.26,-0.23,-0.42,-0.12,-0.43,0.01,0.25,-0.08,-0.02
"297-20-0.22",-1,-0.99,-1,-0.98,-0.9,0,-1,-1,-0.9,0.14,-1,-0.99,0.73,0.79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,0.99,1,1,1,1,1,0.99,0.88,0.96,0.3,1,1,0.73,0.77,0.87,1,0.91,-0.64,0.97,-0.19,-0.57,-0.57,-1,1,1,1,1,1,1,1,-0.58,0.76,1,1,1,1,0.98,1,0.97,0.64,0.11,-0.25,-0.82,-0.96,-0.36,-1,-0.99,0.54,-0.55,-0.37,-0.01,-0.33,0.67,-0.27,0.08,-0.45,1,0.11,0.81,0.57,0.5,1,-0.36,-0.45,-0.59,-0.44,-0.09,-0.34,-0.05,0.1,1,-0.13,0.01
"297-40-0.22",-0.96,-0.89,-0.93,-0.8,-0.53,-1,0,-0.97,-0.73,0.39,-1,-1,0.73,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,0.97,1,1,1,1,1,0.97,0.71,0.87,-0.31,1,1,0.53,0.52,0.47,1,0.58,-0.99,0.87,-0.85,-0.91,-0.89,-1,0.95,1,1,0.86,1,0.98,1,-0.78,0.52,1,1,0.99,1,0.66,1,0.8,0.04,-0.75,-0.58,-0.53,-0.89,-0.05,-0.98,-0.9,0.7,-0.16,0.08,0.57,0.13,0.94,0.25,0.6,-0.08,1,0.69,0.98,0.78,0.87,1,0.04,0.07,-0.25,-0.01,0.38,0.09,0.31,0.61,1,0.38,0.52
"297-60-0.22",-1,-1,-1,-1,-1,-1,-0.97,0,-0.95,-0.55,-1,-0.7,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.98,0.97,1,1,1,1,0.96,1,0.99,-0.21,0.97,0.28,-0.17,0.12,-0.78,1,1,1,1,1,1,1,-0.4,0.69,1,1,1,1,1,1,1,0.89,0.4,0.32,-1,-0.96,-0.99,-0.94,-1,-0.24,-0.63,-0.49,-0.12,-0.26,-0.13,-0.18,-0.07,-0.37,0.99,-0.16,0.15,-0.2,0.13,0.97,-0.23,-0.24,-0.37,-0.34,-0.22,-0.25,0.04,0.06,0.95,-0.06,-0.03
"298-100-0.22",-0.64,-0.9,-0.92,-0.96,-0.99,-0.9,-0.73,-0.95,0,-1,-0.53,-0.22,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,0.68,0.92,0.99,0.9,0.97,0.24,1,0.92,1,1,1,1,1,0.38,0.32,1,1,1,1,1,1,1,1,1,0.99,-1,-0.95,-0.88,-0.96,-1,-0.42,-0.78,-0.97,-0.89,-0.87,-0.52,-0.86,-0.82,-0.92,0.9,-0.95,-0.2,-0.63,-0.46,0.83,-0.91,-0.96,-0.92,-0.93,-0.98,-0.89,-0.93,-0.89,0.8,-0.89,-0.89
"298-200-0.22",0.03,-0.53,-0.43,-0.63,-0.97,0.14,0.39,-0.55,-1,0,0.37,0.74,1,1,0.96,1,1,1,1,1,1,1,0.97,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.58,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,0.87,1,1,1,0.99,1,1,1,1,1,1,0.99,1,1,1,1,0.82,1,0.91,0.93,1,0.99,1,0.87,1,0.67,1,1,0.99,1,1,0.76,0.48,1,1,1,1,1,1,1,1,1,1,-0.87,-0.04,-0.94,-0.19,-0.56,-0.34,-0.42,-0.57,-0.28,-0.24,-0.28,-0.16,-0.85,-0.42,0.63,-0.42,0.27,-0.96,0.12,-0.15,-0.3,-0.5,-0.38,-0.32,-0.83,-0.22,-0.97,-0.18,-0.22,-0.15,-0.14
