"","296-100-8","296-20-8","296-40-8","296-60-8","297-100-8","297-20-8","297-40-8","297-60-8","298-100-8","298-20-8","298-200-8","298-40-8","298-60-8","300-100-8","300-20-8","300-200-8","300-40-8","300-60-8","302-100-8","302-20-8","302-200-8","302-40-8","302-60-8","304-100-8","304-20-8","304-200-8","304-40-8","304-70-8","306-100-8","306-20-8","306-200-8","306-40-8","306-60-8","307-100-8","307-20-8","307-200-8","307-40-8","307-60-8","310-100-8","310-20-8","310-200-8","310-40-8","310-60-8","311-100-8","311-20-8","311-200-8","311-40-8","311-60-8","312-100-8","312-20-8","312-200-8","312-60-8","313-20-8","313-200-8","313-60-8","313-90-8","314-20-8","314-200-8","314-95-8","315-100-8","315-20-8","315-200-8","315-40-8","315-65-8","317-100-8","317-40-8","317-60-8","318-100-8","318-200-8","318-40-8","318-50-8","319-100-8","319-20-8","319-200-8","319-60-8","320-20-8","320-200-8","320-40-8","321-100-8","321-20-8","321-200-8","321-40-8","321-60-8","322-100-8","322-20-8","322-40-8","322-60-8","323-100-8","323-20-8","323-200-8","323-70-8","324-20-8","324-200-8","324-40-8","324-60-8","326-100-8","326-20-8","326-200-8","326-55-8","328-100-8","328-200-8","329-20-8","329-40-8","329-60-8","330-100-8","330-200-8","317-20-8","318-20-8","319-40-8","320-100-8","322-200-8","326-40-8","328-60-8","329-100-8","330-20-8","330-40-8","178-100-8","178-20-8","178-200-8","178-40-8","178-60-8","179-100-8","179-20-8","179-60-8","193-100-8","193-20-8","193-200-8","193-40-8","193-60-8","241-100-8","241-20-8","241-200-8","241-40-8","241-60-8","262-100-8","262-20-8","262-200-8","262-40-8","262-60-8","267-100-8","267-20-8","267-200-8","267-60-8","287-100-8","287-20-8","287-200-8","287-40-8","287-60-8"
"296-100-8",0,-1,-1,-1,-0.53,-0.79,-0.95,-0.95,0.24,-0.32,0.74,0.07,0.14,0.91,1,1,1,0.91,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,0.99,1,1,1,0.99,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,0.42,0.99,1,1,1,1,0.96,0.99,1,0.88,1,1,1,1,1,0.99,1,0.99,1,1,1,1,0.99,0.99,1,0.99,1,1,1,0.98,1,0.93,1,0.73,0.69,0.4,0.62,0.96,1,1,1,1,1,1,0.91,0.92,0.83,0.68,0.78,-0.01,0.81,0.58,0.36,0.93,0.86,0.83,0.91,0.92,0.9,0.93,1,0.91,0.84,0.88,0.92,0.88,0.9,0.87,0.95,0.93,0.92,0.96,0.93,0.42,0.92,0.65,0.8,0.97,0.88,0.7
"296-20-8",-1,0,-1,-1,-0.2,-0.85,-0.96,-1,0.39,0.16,0.96,0.11,-0.45,0.84,1,1,1,0.85,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.99,1,1,0.43,1,1,1,1,1,0.96,0.99,1,0.95,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.86,1,0.23,0.11,-0.38,0.17,0.83,1,1,1,1,1,1,0.98,0.75,0.75,0.44,0.87,-0.03,0.62,0.54,0.29,0.92,0.66,0.79,0.98,0.9,0.97,0.93,1,0.96,0.82,1,0.95,0.96,0.99,0.92,1,0.92,0.94,0.91,0.9,0.84,0.88,0.94,0.75,1,0.65,0.73
"296-40-8",-1,-1,0,-1,-0.65,-0.88,-0.8,-0.98,0.55,0.19,0.98,-0.02,0.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.71,0.55,0.24,0.67,0.98,1,1,1,1,1,1,0.98,0.93,0.77,0.56,0.84,-0.1,0.73,0.43,0.2,0.93,0.73,0.74,0.95,0.89,0.96,0.93,0.99,0.99,0.83,1,0.95,0.96,0.99,0.9,1,0.9,0.94,0.93,0.91,0.83,0.89,0.96,0.88,1,0.85,0.8
"296-60-8",-1,-1,-1,0,-0.71,-0.76,-0.85,-1,0.62,0.3,0.85,0.13,-0.35,0.92,1,1,1,0.96,0.93,1,1,1,0.84,1,1,0.99,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99,1,1,1,0.98,1,0.99,1,0.99,1,1,0.88,1,1,1,1,0.98,0.99,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.49,0.46,-0.08,0.41,0.94,1,1,1,1,1,1,0.97,0.9,0.75,0.52,0.64,-0.05,0.8,0.54,0.38,0.91,0.78,0.83,0.98,0.9,0.96,0.93,1,0.99,0.9,0.99,0.98,0.99,0.99,0.94,1,0.95,0.97,0.96,0.95,0.91,0.92,0.96,0.92,0.98,0.75,0.82
"297-100-8",-0.53,-0.2,-0.65,-0.71,0,0.94,0.86,-1,-0.13,0.99,0.38,0.99,0.72,0.99,1,0.96,1,1,0.68,1,0.98,1,0.51,1,1,0.79,1,1,1,1,0.8,1,1,1,1,0.98,1,1,1,1,0.95,1,1,1,0.92,1,1,1,1,1,1,1,1,0.89,1,1,1,0.99,1,0.99,1,0.95,1,0.99,0.98,1,0.98,0.98,0.71,1,1,0.99,1,0.94,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.96,0.99,0.96,0.99,0.98,0.97,0.97,1,1,1,1,1,1,1,0.99,1,1,0.68,0.97,-0.12,0.97,0.81,0.96,0.91,0.98,0.99,0.99,0.97,1,1,0.95,0.99,0.95,0.99,0.99,0.92,0.98,0.98,0.99,0.99,0.99,1,0.86,0.99,0.99,0.98,0.79,0.95,0.97
"297-20-8",-0.79,-0.85,-0.88,-0.76,0.94,0,-1,-0.93,0.94,-0.86,1,-0.94,-0.81,0.94,0.92,1,1,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.95,0.96,1,1,0.99,1,1,0.97,1,0.89,1,1,1,1,1,1,0.93,0.88,1,1,0.99,1,1,0.99,1,0.97,0.98,1,1,1,1,0.88,1,0.17,-0.23,-0.62,0.37,0.93,1,1,1,1,1,0.99,0.86,0.86,0.1,-0.15,0.81,-0.63,0.94,-0.15,0.01,0.99,0.73,0.83,0.99,0.91,1,0.96,1,1,0.81,1,0.98,0.99,1,0.94,1,0.92,0.98,0.97,0.94,0.99,0.95,1,0.87,1,0.86,0.84
"297-40-8",-0.95,-0.96,-0.8,-0.85,0.86,-1,0,-0.97,0.83,-0.84,0.96,-0.91,-0.6,0.86,0.94,1,1,0.82,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.56,0.99,1,1,0.99,1,0.98,0.98,1,0.88,1,0.99,1,0.98,1,1,0.98,0.92,1,1,1,1,0.99,0.96,1,0.96,0.99,1,1,0.99,1,0.83,1,0.5,0.27,0.07,0.6,0.97,1,1,1,1,1,1,0.8,0.96,0.25,0.03,0.82,-0.53,0.95,0.02,0.17,0.99,0.85,0.89,0.98,0.95,1,0.97,1,0.99,0.87,0.99,0.98,0.99,0.99,0.95,1,0.96,0.98,0.99,0.97,0.96,0.97,0.94,0.86,1,0.93,0.84
"297-60-8",-0.95,-1,-0.98,-1,-1,-0.93,-0.97,0,-0.29,-0.41,0.33,-0.51,-0.3,0.96,1,0.99,1,0.95,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,0.98,1,0.99,1,0.79,0.99,1,1,1,0.99,0.97,1,1,0.96,1,1,1,1,1,1,1,0.99,1,1,1,1,1,0.99,1,0.99,0.98,1,1,0.99,1,0.9,1,0.91,0.78,0.8,0.89,0.98,1,1,1,1,1,1,0.96,0.84,0.8,0.63,-0.09,-0.34,-0.32,-0.12,-0.65,0.85,0.59,0.76,0.88,0.9,0.91,0.92,0.98,0.91,0.82,0.81,0.86,0.87,0.74,0.7,0.9,0.76,0.9,0.92,0.91,0.45,0.9,0.82,0.84,0.81,0.87,0.72
"298-100-8",0.24,0.39,0.55,0.62,-0.13,0.94,0.83,-0.29,0,0.89,-0.93,0.89,0.63,0.99,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.98,1,1,0.99,0.06,1,1,1,1,0.98,0.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,0.99,0.99,0.94,0.97,0.96,0.94,0.97,1,1,1,1,1,1,1,1,1,0.99,0.59,0.51,-0.24,0.53,-0.02,0.04,0.44,0.28,0.69,0.89,-0.09,0.94,0.97,0.51,0.83,0.73,0.77,0.46,0.6,0.77,0.95,0.82,0.72,0.87,0.85,-0.26,0.83,0.59,0.65,0.93,0.61,0.67
"298-20-8",-0.32,0.16,0.19,0.3,0.99,-0.86,-0.84,-0.41,0.89,0,0.98,-1,-0.99,0.64,0.91,1,0.98,0.57,0.99,1,1,1,0.78,1,1,1,1,0.82,1,1,1,1,0.81,1,1,0.98,1,0.97,0.99,1,0.99,0.97,1,1,0.99,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.96,1,0.85,0.99,1,0.44,0.61,0.98,0.99,0.91,1,0.92,0.9,1,0.28,1,0.95,1,0.93,0.96,0.98,0.63,0.56,0.87,1,0.98,1,0.95,0.83,1,0.75,0.89,1,0.96,0.99,0.91,0.52,1,-0.83,-0.83,-0.97,-0.87,0.71,1,1,1,1,1,0.88,0.24,0.14,-0.42,-0.63,0.98,0.06,0.99,0.71,0.8,1,0.99,1,1,1,1,1,1,1,0.98,1,1,1,1,0.99,1,1,1,1,1,1,1,0.97,0.96,1,0.99,0.97
