,1_P1-100-3,1_P1-20-3,1_P1-200-3,1_P1-300-3,1_P1-40-3,1_P1-60-3,2_P1-100-3,2_P1-20-3,2_P1-200-3,2_P1-300-3,2_P1-40-3,2_P1-60-3,3_P1-20-3,3_P1-200-3,3_P1-300-3,3_P1-40-3,3_P1-60-3,4_P1-90-3,4_P1-20-3,4_P1-100-3,4_P1-200-3,4_P1-40-3,4_P1-60-3,4_P1-300-3,5_P1-20-3,3_P1-90-3,5_P1-100-3,5_P1-200-3,5_P1-300-3,5_P1-40-3,5_P1-90-3,6_P1-100-3,6_P1-20-3,6_P1-200-3,6_P1-40-3,6_P1-60-3,6_P1-300-3,7_P1-20-3,7_P1-40-3,7_P1-60-3,10_P1-20-3,10_P1-40-3,7_P1-105-3,7_P1-200-3,7_P1-300-3,8_P1-100-3,8_P1-115-3,8_P1-20-3,8_P1-200-3,8_P1-250-3,8_P1-40-3,8_P1-60-3,9_P1-100-3,9_P1-120-3,9_P1-20-3,9_P1-200-3,9_P1-40-3,9_P1-500-3,9_P1-60-3,10_P1-100-3,10_P1-120-3,10_P1-200-3,10_P1-500-3,10_P1-60-3,11_P1-100-3,11_P1-20-3,11_P1-200-3,11_P1-40-3,11_P1-500-3,11_P1-60-3,11_P1-70-3,12_P1-100-3,12_P1-20-3,12_P1-200-3,12_P1-40-3,12_P1-500-3,12_P1-60-3,13_P1-100-3,13_P1-20-3,13_P1-200-3,13_P1-40-3,13_P1-500-3,13_P1-60-3,14_P1-100-3,14_P1-20-3,14_P1-200-3,14_P1-40-3,14_P1-500-3,14_P1-60-3,15_P1-100-3,15_P1-20-3,15_P1-200-3,15_P1-40-3,15_P1-500-3,15_P1-60-3,16_P1-20-3,16_P1-100-3,16_P1-200-3,16_P1-40-3,16_P1-500-3,16_P1-60-3,17_P1-100-3,17_P1-20-3,17_P1-40-3,17_P1-500-3,17_P1-60-3,18_P1-100-3,18_P1-20-3,18_P1-200-3,18_P1-40-3,18_P1-500-3,18_P1-60-3,19_P1-100-3,19_P1-20-3,19_P1-200-3,19_P1-40-3,19_P1-500-3,19_P1-60-3,12_P2-100-3,12_P2-20-3,12_P2-200-3,12_P2-300-3,12_P2-40-3,12_P2-60-3,15_P2-100-3,15_P2-20-3,15_P2-200-3,15_P2-300-3,15_P2-40-3,15_P2-60-3,17_P2-100-3,17_P2-20-3,17_P2-200-3,17_P2-300-3,17_P2-40-3,17_P2-60-3,6_P2-100-3,6_P2-20-3,6_P2-200-3,6_P2-300-3,6_P2-40-3,6_P2-60-3,8_P2-20-3,8_P2-200-3,8_P2-300-3,8_P2-40-3,8_P2-60-3,18_P2-100-3,18_P2-20-3,18_P2-200-3,18_P2-300-3,18_P2-40-3,18_P2-60-3,20_P2-100-3,20_P2-20-3,20_P2-200-3,20_P2-300-3,20_P2-40-3,20_P2-60-3
1_P1-100-3,0,0.96,-0.12,0.7,1,1,0.35,1,0.88,0.89,1,1,1,0.67,0.78,1,1,1,0.98,1,1,1,0.88,0.99,1,0.75,0.88,0.99,0.97,1,0.97,0.92,0.84,0.69,0.96,1,0.87,1,1,1,1,1,0.54,0.97,0.85,0.99,1,0.99,0.99,0.89,1,0.99,0.99,0.98,1,0.98,1,0.87,0.89,1,0.98,0.97,0.84,1,0.83,1,0.95,1,1,0.74,0.94,1,1,1,1,0.94,1,1,1,1,1,1,1,0.99,1,1,1,0.96,1,1,1,0.97,1,0.98,1,1,1,1,0.99,1,1,1,1,1,1,0.98,1,1,1,1,1,1,0.97,1,1,1,0.97,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1_P1-20-3,0.96,0,0.51,0.9,-0.97,0.97,0.99,0.92,0.99,1,0.4,1,0.6,1,0.96,0.99,1,1,0.94,1,1,1,1,1,1,1,1,1,0.98,1,0.99,1,0.93,0.98,1,1,0.67,1,0.95,0.99,0.21,0.99,1,0.91,0.86,0.55,1,-0.22,1,0.91,1,0.25,0.86,0.96,0.13,1,0.7,0.99,0.82,1,1,1,0.92,0.87,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,0.91,1,0.96,1,0.98,1,0.96,1,1,1,1,0.99,1,1,1,1,1,0.99,0.94,0.98,1,1,1,1,0.99,0.91,1,1,1,0.67,1,1,1,0.96,0.99,0.99,1,1,1,0.99,0.96,1,1,1,1,1,0.91,1,1,1,1,1,0.99,0.97,0.99,1,1,1,1,0.99,1,1,1,1,1,1,1,1,0.9,1,1,1
1_P1-200-3,-0.12,0.51,0,-0.4,1,1,0.98,0.99,-0.47,-0.69,0.97,0.99,0.98,0.11,0.04,0.74,0.99,0.99,0.98,0.99,0.48,1,0.95,0.39,0.91,0.95,0.98,0.33,-0.1,0.9,0.96,0.67,0.93,0.19,1,1,-0.03,0.98,1,0.97,0.69,1,0.81,0.27,-0.19,0.99,0.99,0.99,0.63,-0.08,0.94,0.79,1,0.92,0.98,0.02,0.99,0.24,-0.66,0.83,1,0.44,-0.24,0.99,0.91,0.89,0.46,0.99,0.53,0.72,0.96,0.98,0.99,0.99,0.97,0.36,1,1,0.97,0.91,1,0.22,0.9,0.68,0.99,0.76,1,0.67,0.93,0.96,0.97,0.72,1,-0.16,0.82,1,0.99,0.92,0.93,0.85,1,0.98,0.94,0.99,0.28,0.36,0.63,0.99,0.96,0.99,-0.02,0.97,0.27,1,0.96,0.99,0.01,1,1,1,0.48,0.82,1,1,0.94,1,0.81,0.79,1,0.98,1,0.99,0.96,0.77,1,1,1,0.99,0.83,0.57,1,0.72,1,0.98,0.97,1,1,1,1,0.88,1,1,0.99,1,0.98,0.24,0.89,1,1
1_P1-300-3,0.7,0.9,-0.4,0,1,1,1,1,0.8,-0.61,1,1,1,0.73,0.91,1,1,1,1,1,0.91,1,1,0.93,1,1,1,0.97,0.94,1,1,0.99,0.99,0.28,1,1,0.77,1,1,1,1,1,1,0.96,0.92,1,1,1,0.78,0.74,1,1,1,1,1,0.69,1,0.63,0.88,1,1,0.38,0.85,1,1,1,0.97,1,0.87,1,1,1,1,1,1,0.9,1,1,1,1,1,0.99,1,0.94,1,1,1,0.96,1,1,1,0.96,1,0.9,1,1,1,1,0.99,0.99,1,1,1,1,0.97,0.81,0.95,1,1,1,0.93,1,0.85,1,1,1,0.93,1,1,1,0.97,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,0.99,1,1,1,0.96,0.78,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1
1_P1-40-3,1,-0.97,1,1,0,-0.94,0.98,-0.69,1,1,-0.86,-0.97,-0.74,1,1,-0.16,-0.49,1,0.87,1,1,0.98,0.99,1,0.76,0.98,1,1,0.99,0.7,0.93,1,0.94,1,1,1,0.97,-0.12,-0.53,0,-0.6,-0.77,0.99,0.94,0.98,-0.15,0.96,-0.63,1,0.98,-0.47,-0.25,0.16,-0.18,-0.47,1,-0.81,1,0.54,0.88,1,1,0.98,-0.82,1,0.71,1,0.98,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,1,1,1,1,1,0.97,1,1,1,0.98,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.88,1,1,0.89,0.98,0.93,1,1,0.94,0.93,1,1,1,1,1,1,1,1,1,1,1,1
1_P1-60-3,1,0.97,1,1,-0.94,0,0.8,0.67,1,1,-0.13,0.76,0.23,1,1,0.92,0.9,1,0.95,1,1,1,0.98,1,1,0.94,0.99,1,1,0.99,0.99,1,0.99,1,0.96,1,1,0.93,0.53,0.89,0.52,0.74,0.94,1,1,0.34,0.81,-0.05,1,1,0.82,0.62,-0.03,0.58,0.51,1,-0.26,1,0.98,0.98,0.99,1,1,0.5,1,0.46,1,0.51,1,0.87,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,0.29,0.93,1,1,1,1,0.99,1,1,1,1,1,1,1,0.31,0.97,1,1,0.91,1,0.84,1,1,0.56,-0.59,1,1,1,1,1,1,1,1,1,1,1,1
2_P1-100-3,0.35,0.99,0.98,1,0.98,0.8,0,0.99,1,1,0.95,0.63,0.94,0.99,0.85,0.89,0.81,-0.17,0.93,0.33,1,1,0.58,0.99,0.98,-0.57,0.41,1,0.97,0.99,0.86,0.84,0.97,1,0.9,0.71,0.92,0.99,0.95,0.96,0.96,0.98,-0.06,0.97,0.79,0.79,0.28,0.77,0.99,0.82,0.98,0.74,0.35,-0.09,0.94,1,0.84,0.95,0.54,0.54,0.22,1,0.84,0.96,0.97,0.83,1,0.96,1,0.74,0.8,1,1,1,0.99,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,0.99,0.99,1,1,1,1,0.98,0.88,0.98,1,1,1,1,1,0.9,1,1,1,0.95,1,1,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.99,1,1,0.99,0.99,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1
2_P1-20-3,1,0.92,0.99,1,-0.69,0.67,0.99,0,1,1,-1,-1,-0.94,1,0.97,-0.89,-0.8,1,0.33,1,1,0.94,0.98,1,0.74,0.99,1,1,1,0.54,0.85,1,0.98,1,0.85,1,0.83,-0.92,-0.72,-0.58,0.07,-0.94,1,0.98,0.9,-0.27,0.97,-0.78,1,0.97,-0.9,0.04,0.53,0.6,-0.69,1,-0.88,1,0.9,1,1,1,0.99,-0.81,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,0.95,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1
2_P1-200-3,0.88,0.99,-0.47,0.8,1,1,1,1,0,0.72,1,1,1,0.86,0.16,0.88,1,1,1,1,0.87,1,0.99,0.51,0.99,0.97,0.99,-0.33,-0.78,0.91,0.99,0.72,1,0.77,1,1,-0.6,1,1,1,0.71,1,0.91,0.89,0.31,1,1,1,0.91,0.51,1,0.99,1,0.99,1,0.8,1,0.67,0.36,0.99,1,0.93,0.34,1,0.99,1,0.97,1,0.94,0.99,1,1,1,1,1,0.92,1,1,1,1,1,0.43,1,0.99,1,0.16,1,0.89,1,0.96,0.99,0.95,1,0.37,0.99,1,1,0.99,0.99,0.92,1,1,1,1,0.81,0.68,0.9,1,1,1,0.86,0.99,0.71,1,0.99,1,0.34,1,1,1,0.3,0.97,1,1,0.99,1,0.3,0.79,1,1,1,0.99,0.99,0.07,1,1,1,1,1,0.82,1,0.65,1,1,0.99,1,1,1,1,0.67,1,1,1,1,1,-0.79,0.99,1,0.87
2_P1-300-3,0.89,1,-0.69,-0.61,1,1,1,1,0.72,0,1,1,1,-0.13,0.75,1,1,1,1,1,0.77,1,1,0.91,1,1,1,0.96,0.91,1,1,0.99,1,0.41,1,1,0.89,1,1,1,1,1,1,0.96,0.82,1,1,1,0.44,0.74,1,1,1,1,1,0.81,1,0.28,0.83,1,1,0.59,0.75,1,1,1,0.96,1,0.95,1,1,1,1,1,1,0.98,1,1,1,1,1,0.99,1,1,1,1,1,0.92,1,0.99,1,0.96,1,0.94,1,1,1,1,1,0.98,1,1,1,1,0.98,0.81,0.97,1,1,1,0.98,1,0.87,1,1,1,0.83,1,1,1,0.99,0.98,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2_P1-40-3,1,0.4,0.97,1,-0.86,-0.13,0.95,-1,1,1,0,-1,-0.98,1,0.98,-0.99,-0.96,0.99,0.2,1,1,0.81,0.94,1,0.5,0.98,0.99,1,1,0.23,0.75,1,0.82,1,0.7,1,0.94,-0.93,-0.95,-0.71,-0.4,-0.99,0.98,0.87,0.94,-0.64,0.9,-0.92,1,0.94,-0.98,-0.58,-0.02,-0.49,-0.88,1,-0.96,1,0.61,0.94,1,1,0.97,-0.9,1,0.83,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,0.99,0.95,0.98,1,1,1,1,1,0.92,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
