"","296-100-0.22","296-20-0.22","296-40-0.22","296-60-0.22","298-100-0.22","298-200-0.22","298-40-0.22","298-60-0.22","300-100-0.22","300-20-0.22","300-200-0.22","300-40-0.22","300-60-0.22","302-100-0.22","302-200-0.22","302-40-0.22","302-60-0.22","304-100-0.22","304-200-0.22","304-40-0.22","304-70-0.22","306-100-0.22","306-20-0.22","306-200-0.22","306-40-0.22","306-60-0.22","311-100-0.22","311-20-0.22","311-200-0.22","311-40-0.22","311-60-0.22","312-20-0.22","312-200-0.22","312-60-0.22","314-20-0.22","314-200-0.22","314-60-0.22","314-95-0.22","315-100-0.22","315-20-0.22","315-200-0.22","315-40-0.22","315-65-0.22","317-100-0.22","317-20-0.22","317-200-0.22","317-40-0.22","317-60-0.22","319-100-0.22","319-200-0.22","319-40-0.22","319-60-0.22","320-20-0.22","320-60-0.22","321-200-0.22","321-40-0.22","323-70-0.22","324-200-0.22","324-40-0.22","329-20-0.22","329-200-0.22","329-60-0.22","298-20-0.22","323-20-0.22","323-200-0.22","302-20-0.22","321-100-0.22","321-20-0.22","321-60-0.22","323-100-0.22","324-60-0.22","329-100-0.22","329-40-0.22"
"296-100-0.22",0,-1,-1,-1,-0.73,-0.24,-1,-0.6,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,0.98,0.9,0.94,1,0.98,-0.51,0.95,-0.02,-0.78,1,1,1,1,1,1,1,1,0.93,0.34
"296-20-0.22",-1,0,-1,-1,-0.93,-0.61,-1,-0.86,0.86,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.96,0.33,0.9,1,0.97,-0.55,0.94,-0.41,-0.88,1,1,1,1,1,1,1,1,0.77,0.42
"296-40-0.22",-1,-1,0,-1,-0.95,-0.57,-1,-0.89,0.88,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.97,0.47,0.93,1,0.98,-0.55,0.96,-0.31,-0.91,1,1,1,1,1,1,1,1,0.84,0.45
"296-60-0.22",-1,-1,-1,0,-0.99,-0.79,-1,-0.82,0.87,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.98,0.98,0.6,0.96,0.98,0.99,-0.46,0.75,-0.2,-0.84,1,0.93,1,1,1,1,1,1,0.85,0.66
"298-100-0.22",-0.73,-0.93,-0.95,-0.99,0,-1,-0.67,-0.33,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,0.86,1,0.68,0.94,0.99,0.29,1,0.92,1,1,1,1,1,1,1,1
"298-200-0.22",-0.24,-0.61,-0.57,-0.79,-1,0,0.11,0.64,1,1,0.92,1,1,1,1,1,1,1,0.96,1,1,1,1,0.96,1,1,1,1,0.99,1,1,1,1,1,1,0.43,1,1,1,1,0.94,1,1,1,1,1,1,0.99,1,0.99,1,1,0.99,1,1,1,1,0.79,1,0.88,0.9,1,0.85,1,0.5,1,1,1,1,1,1,1,1
"298-40-0.22",-1,-1,-1,-1,-0.67,0.11,0,-0.95,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.99,0.95,0.94,1,0.97,-0.57,0.98,0.03,-0.95,1,1,1,1,1,1,1,1,0.83,-0.03
"298-60-0.22",-0.6,-0.86,-0.89,-0.82,-0.33,0.64,-0.95,0,0.95,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,0.99,1,1,0.97,1,1,1,1,1,1,1,1,1,0.97,1,0.99,1,1,1,1,1,0.98,0.4,0.93,0.55,0.68,1,0.93,-0.95,0.99,0.12,-1,0.99,1,1,1,1,1,1,0.99,0.85,-0.49
"300-100-0.22",0.92,0.86,0.88,0.87,0.99,1,0.9,0.95,0,0.72,0.92,0.91,0.75,-0.53,0.83,0.94,0.27,0.33,0.91,0.99,0.4,0.03,1,0.99,0.99,0.97,1,0.98,0.83,0.99,1,0.99,1,1,0.98,1,1,0.55,0.82,1,0.99,0.99,0.46,0.85,0.74,0.99,-0.44,-0.13,0.91,1,0.41,0.87,0.9,0.02,-0.55,0.39,-0.09,0.19,0.62,-0.08,0.73,0.31,0.68,0.99,0.99,0.95,0.65,0.86,0.17,-0.1,0.57,0.6,0.31
"300-20-0.22",1,0.92,0.95,0.98,1,1,1,0.97,0.72,0,1,-0.99,-0.95,1,1,-0.58,-0.45,1,1,-0.43,0.37,1,0.15,1,0.05,0.37,0.11,-0.26,1,0.04,0.11,-0.21,1,0.24,-0.29,1,0.39,0.99,1,0.48,1,0.59,1,1,-0.48,1,0.94,1,1,1,1,1,0.72,-0.67,0.85,-0.73,-0.77,1,-0.36,-0.18,1,0.45,0.78,0.44,1,-0.89,1,-0.81,0.42,0.98,-0.31,0.99,0.33
