"","1_P1-100-0.22","1_P1-20-0.22","1_P1-200-0.22","1_P1-40-0.22","1_P1-60-0.22","2_P1-100-0.22","2_P1-20-0.22","2_P1-200-0.22","2_P1-40-0.22","2_P1-60-0.22","3_P1-20-0.22","3_P1-200-0.22","3_P1-40-0.22","3_P1-60-0.22","4_P1-90-0.22","4_P1-20-0.22","4_P1-100-0.22","4_P1-200-0.22","4_P1-40-0.22","4_P1-60-0.22","5_P1-20-0.22","3_P1-90-0.22","5_P1-100-0.22","5_P1-200-0.22","5_P1-40-0.22","5_P1-90-0.22","6_P1-100-0.22","6_P1-20-0.22","6_P1-200-0.22","6_P1-40-0.22","6_P1-60-0.22","7_P1-20-0.22","7_P1-40-0.22","7_P1-60-0.22","10_P1-20-0.22","10_P1-40-0.22","7_P1-105-0.22","7_P1-200-0.22","8_P1-100-0.22","8_P1-115-0.22","8_P1-20-0.22","8_P1-200-0.22","8_P1-40-0.22","8_P1-60-0.22","9_P1-100-0.22","9_P1-120-0.22","9_P1-20-0.22","9_P1-200-0.22","9_P1-40-0.22","9_P1-60-0.22","10_P1-100-0.22","10_P1-120-0.22","10_P1-200-0.22","10_P1-60-0.22","11_P1-100-0.22","11_P1-20-0.22","11_P1-200-0.22","11_P1-40-0.22","11_P1-60-0.22","11_P1-70-0.22","12_P1-100-0.22","12_P1-20-0.22","12_P1-200-0.22","12_P1-40-0.22","12_P1-60-0.22","13_P1-100-0.22","13_P1-20-0.22","13_P1-200-0.22","13_P1-40-0.22","13_P1-60-0.22","14_P1-100-0.22","14_P1-20-0.22","14_P1-200-0.22","14_P1-40-0.22","14_P1-60-0.22","12_P2-100-0.22","12_P2-20-0.22","12_P2-200-0.22","12_P2-40-0.22","12_P2-60-0.22","15_P2-100-0.22","15_P2-20-0.22","15_P2-200-0.22","15_P2-40-0.22","15_P2-60-0.22","17_P2-100-0.22","17_P2-20-0.22","17_P2-200-0.22","17_P2-40-0.22","17_P2-60-0.22","8_P2-100-0.22","8_P2-20-0.22","8_P2-200-0.22","8_P2-40-0.22","8_P2-60-0.22"
"1_P1-100-0.22",0,1,0.86,0.95,-1,-0.99,0.99,0.22,0.99,0.32,0.93,1,-0.02,1,0.93,0.9,0.75,0.97,1,0.92,1,0.46,0.85,1,1,0.87,0.89,0.87,1,0.65,0.58,0.91,-0.3,0.38,0.75,1,0.2,0.92,0.28,0.54,0.71,1,-0.38,0.66,0.24,0.18,1,0.98,0.97,0.87,0.72,-0.86,0.8,1,-0.97,-0.88,0.96,0.47,-0.34,0.02,0.98,1,0.39,1,1,1,1,1,1,1,1,1,1,1,1,0.89,0.84,1,0.85,1,1,1,1,1,1,1,1,1,1,1,-0.88,1,1,0.95,-0.17
"1_P1-20-0.22",1,0,1,-1,-0.96,0.99,-0.81,1,-1,-0.09,-0.48,1,-1,0.15,1,-0.18,1,1,0.98,0.99,0.62,1,1,1,0.99,-0.58,1,-0.03,1,0.57,0.94,-0.33,-1,-0.97,-0.96,-0.4,0.95,0.41,-0.98,0.84,-0.99,1,-1,-1,0.03,-0.98,-0.59,1,-0.98,-0.63,0.79,1,1,-0.96,1,-0.17,1,0.98,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,0.25
"1_P1-200-0.22",0.86,1,0,1,1,0.36,1,-1,1,1,1,0.94,1,1,1,1,1,0.29,1,1,1,1,1,0.92,1,1,0.97,1,0.99,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0.79,1,1,1,1,0.7,1,0.43,1,0.7,1,1,1,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,0.88,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,1,1
"1_P1-40-0.22",0.95,-1,1,0,-0.97,0.96,-0.93,1,-0.99,-0.61,-0.71,1,-0.99,-0.3,1,0.24,1,1,0.97,1,0.58,1,1,1,0.84,-0.43,1,-0.12,1,0.54,0.94,-0.61,-1,-0.95,-0.99,-0.97,0.94,0.37,-0.99,0.33,-0.99,1,-1,-1,0.11,-0.98,-0.95,1,-0.98,-0.86,0.95,1,1,-0.96,1,-0.03,1,0.99,0.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.64
"1_P1-60-0.22",-1,-0.96,1,-0.97,0,-0.32,-0.65,1,-0.63,-0.7,-0.45,1,-0.92,-0.08,0.97,0.44,0.96,1,0.78,0.84,-0.17,0.61,0.78,1,0.18,0.27,1,0.34,1,0.19,0.64,-0.67,-0.92,-0.73,-0.87,-0.88,0.05,-0.54,-0.9,-0.41,-0.73,1,-0.92,-0.82,-0.48,-0.81,0.04,1,-0.65,-0.7,-0.9,0.3,0.97,-0.56,0.96,-0.92,1,-0.38,-0.08,0.82,0.99,0.97,0.96,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.13,1,-0.13,0.69,1,1,1,1,1,1,1,1,1,1,0.3,-0.11,1,-0.4,-0.66
"2_P1-100-0.22",-0.99,0.99,0.36,0.96,-0.32,0,0.79,0.57,0.83,0.09,0.82,0.94,0.16,0.27,0.04,0.66,-0.37,0.61,0.75,0.15,0.7,-0.82,0.13,0.98,0.91,0.61,0.25,0.43,0.99,0.06,-0.17,0.77,0.54,0.56,0.45,0.03,-0.86,0.58,-0.16,-0.7,0.77,0.81,0.34,0.61,-0.89,-0.13,0.93,0.73,0.52,0.52,-0.81,-0.99,0.17,0.78,-0.37,0.33,0.88,0.66,0.2,-0.71,0.76,0.98,0.74,1,1,1,1,1,1,1,1,1,1,1,1,0.89,0.99,0.99,0.95,0.97,1,1,1,1,1,1,1,1,1,1,-0.78,0.99,0.94,0.99,0.81
"2_P1-20-0.22",0.99,-0.81,1,-0.93,-0.65,0.79,0,1,-1,-0.98,-1,1,-1,-0.98,1,-0.77,1,0.99,0.37,0.85,-0.61,0.98,0.95,1,-0.68,-0.7,1,-0.53,1,-0.32,0.54,-1,-1,-1,-1,-1,0.75,-0.12,-1,-0.53,-1,1,-1,-1,-0.59,-1,-1,1,-1,-0.99,0.77,0.99,1,-1,1,0.76,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.94
"2_P1-200-0.22",0.22,1,-1,1,1,0.57,1,0,1,1,1,0.01,1,1,1,1,0.99,-0.87,1,1,1,0.94,0.99,0.27,1,1,-0.48,1,0.59,1,0.99,1,1,1,1,1,0.72,0.92,0.99,0.99,1,0.62,0.99,1,1,1,1,-0.48,1,1,1,0.99,0.06,1,0.32,0.99,-0.52,1,0.97,0.96,0.89,1,0.32,1,1,1,1,1,1,1,1,1,1,1,1,0.36,1,0.73,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,-0.06,1,0.99
"2_P1-40-0.22",0.99,-1,1,-0.99,-0.63,0.83,-1,1,0,-0.75,-0.96,1,-1,-0.98,1,-0.67,1,0.99,0.3,0.75,-0.42,0.96,0.93,1,-0.23,-0.75,1,-0.67,1,-0.48,0.38,-0.9,-1,-1,-1,-1,0.69,-0.21,-1,-0.06,-1,1,-1,-1,-0.65,-1,-1,1,-1,-0.96,0.5,0.99,1,-1,1,0.78,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.92
"2_P1-60-0.22",0.32,-0.09,1,-0.61,-0.7,0.09,-0.98,1,-0.75,0,-0.72,1,-0.99,-0.91,1,0.7,1,1,0.94,0.98,0.47,0.97,1,1,0.36,-0.01,1,0.49,1,0.7,0.95,-0.76,-1,-0.89,-0.97,-0.91,0.76,0.58,-0.94,-0.37,-0.93,1,-1,-0.98,-0.18,-0.96,-0.74,1,-0.79,-0.89,0.92,0.97,1,-0.66,1,0.85,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
