"","1_P1-100-8","1_P1-20-8","1_P1-200-8","1_P1-40-8","1_P1-60-8","2_P1-100-8","2_P1-20-8","2_P1-200-8","2_P1-40-8","2_P1-60-8","3_P1-20-8","3_P1-200-8","3_P1-40-8","3_P1-60-8","4_P1-90-8","4_P1-20-8","4_P1-100-8","4_P1-200-8","4_P1-40-8","4_P1-60-8","3_P1-90-8","5_P1-100-8","5_P1-20-8","5_P1-200-8","5_P1-40-8","5_P1-90-8","6_P1-100-8","6_P1-20-8","6_P1-200-8","6_P1-40-8","6_P1-60-8","7_P1-20-8","7_P1-40-8","10_P1-20-8","7_P1-105-8","7_P1-200-8","7_P1-60-8","8_P1-100-8","8_P1-20-8","8_P1-200-8","8_P1-40-8","8_P1-60-8","9_P1-100-8","9_P1-120-8","9_P1-20-8","9_P1-200-8","9_P1-40-8","9_P1-60-8","10_P1-100-8","10_P1-120-8","10_P1-200-8","10_P1-40-8","10_P1-60-8","11_P1-100-8","11_P1-20-8","11_P1-200-8","11_P1-40-8","11_P1-60-8","11_P1-70-8","12_P1-100-8","12_P1-20-8","12_P1-200-8","12_P1-40-8","12_P1-60-8","13_P1-100-8","13_P1-20-8","13_P1-200-8","13_P1-40-8","13_P1-60-8","14_P1-100-8","14_P1-20-8","14_P1-200-8","14_P1-40-8","14_P1-60-8","12_P2-100-8","12_P2-20-8","12_P2-200-8","12_P2-40-8","12_P2-60-8","15_P2-100-8","15_P2-20-8","15_P2-200-8","15_P2-40-8","15_P2-60-8","17_P2-100-8","17_P2-20-8","17_P2-200-8","17_P2-40-8","17_P2-60-8","8_P2-100-8","8_P2-20-8","8_P2-200-8","8_P2-40-8","8_P2-60-8"
"1_P1-100-8",0,1,0.49,0.95,1,-0.02,1,-0.32,1,0.89,1,0.96,1,1,0.92,1,0.66,0.99,1,0.92,0.98,0.83,1,0.99,1,1,0.95,0.57,-0.35,1,0.71,1,1,1,0.56,0.88,1,0.99,1,0.82,0.99,1,1,0.92,1,0.98,1,1,0.85,0.41,0.94,1,1,0.48,1,0.98,1,0.96,1,0.99,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,0.86,1,1,1,1
"1_P1-20-8",1,0,0.93,-1,1,1,0.02,1,0.72,0.37,-0.9,1,0.18,0.92,1,1,1,1,0.78,0.87,1,1,1,1,0.82,0.96,1,0.16,0.86,1,1,0.33,0.7,0.34,1,1,1,0.59,-0.53,1,-0.9,0.31,1,1,0.66,1,0.87,0.77,0.88,1,1,-0.7,-0.06,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.48,0.99,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.91,0.94
"1_P1-200-8",0.49,0.93,0,0.85,1,0.75,0.75,-0.25,0.57,0.74,0.98,-0.65,0.96,1,0.86,1,0.82,-0.3,0.91,0.98,0.95,0.81,0.89,-0.77,0.88,0.87,-0.94,0.75,-0.42,0.92,1,0.65,0.77,0.94,0.77,-0.96,0.97,0.75,0.68,-0.19,0.52,0.57,0.99,0.34,0.65,-0.33,0.99,0.87,0.55,0.95,0.04,0.94,0.99,-0.19,0.8,0.86,0.99,0.99,0.99,0.95,0.94,0.9,0.99,1,0.78,0.83,0.79,0.99,0.96,-0.17,0.99,-0.89,0.36,0.75,0.93,0.99,0.27,0.96,0.99,0.99,1,0.95,0.98,0.99,0.82,1,0.83,1,0.88,1,0.88,0.41,0.98,0.97
"1_P1-40-8",0.95,-1,0.85,0,-0.08,1,-0.22,1,-0.88,0.14,-0.35,1,-0.11,-0.03,1,0.94,1,1,0.9,0.97,1,1,0.44,1,0.86,0.87,1,0.15,1,1,1,0.36,0.37,-0.62,0.99,0.98,0.15,0.13,-0.14,0.94,-0.6,0.18,0.86,0.94,-0.23,1,-0.43,-0.08,0.78,1,1,-0.5,-0.58,1,0.78,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.9,0.97,1,1,1,1,1,1,1,1,1,1,1,0.87,1,0.88,0.86
"1_P1-60-8",1,1,1,-0.08,0,0.52,0.99,1,1,0.84,0.89,1,0.99,0.86,0.96,1,0.98,1,0.99,0.88,1,1,1,1,1,0.97,1,1,1,1,0.99,0.99,1,0.93,0.98,1,1,0.9,0.95,1,0.87,0.99,1,1,1,1,0.98,0.98,0.88,1,1,0.89,0.66,1,0.5,1,0.94,0.91,1,1,0.95,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.87,0.95,1,1,1,1,1,1,1,1,1,1,0.95,1,1,0.13,0.24
"2_P1-100-8",-0.02,1,0.75,1,0.52,0,1,0.93,0.99,0.77,1,0.97,0.99,0.95,-0.26,0.99,-0.1,1,0.88,0.26,-0.18,-0.34,0.98,1,0.88,0.69,0.75,0.9,0.99,0.67,-0.2,0.95,0.98,1,-0.36,0.94,0.99,0.72,0.95,0.89,0.8,0.78,0.37,0.08,0.98,1,1,0.98,0.25,-0.45,1,0.99,1,0.93,0.95,1,0.94,0.85,0.8,0.87,0.99,0.97,0.98,0.94,0.99,1,0.96,1,1,1,1,0.88,1,0.99,1,0.99,1,0.97,0.77,1,1,1,1,1,1,1,1,1,1,0.46,1,1,1,0.94
"2_P1-20-8",1,0.02,0.75,-0.22,0.99,1,0,1,-1,-0.16,-0.85,1,-0.17,0.35,0.99,0.85,0.97,1,0.37,0.89,1,1,0.45,1,0.03,0.81,1,0.72,1,0.95,0.97,0.03,0.12,-0.31,0.99,0.97,0.51,-0.05,-0.47,0.98,-0.78,-0.44,0.96,0.93,-0.14,1,0.3,0.13,0.6,0.99,1,-0.21,-0.11,1,0.95,1,1,0.99,1,1,0.96,1,0.99,1,1,1,1,1,1,1,1,0.96,1,0.99,1,0.98,1,0.89,0.99,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.99,0.99
"2_P1-200-8",-0.32,1,-0.25,1,1,0.93,1,0,1,0.89,1,0.47,1,1,0.99,1,0.99,0.38,1,0.99,1,0.98,1,0.65,1,1,0.79,0.94,-0.27,1,0.98,1,1,1,0.97,0.48,1,0.99,1,0.71,0.99,1,1,1,1,0.56,1,1,1,1,0.26,1,1,0.73,1,0.2,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1
"2_P1-40-8",1,0.72,0.57,-0.88,1,0.99,-1,1,0,-0.58,-0.99,1,-0.67,0.6,0.96,0.97,0.99,1,-0.18,0.67,1,1,0.84,1,-0.09,0.62,1,-0.54,0.97,0.85,0.92,-0.59,-0.01,0.46,0.99,0.9,0.97,-0.39,-0.87,0.99,-0.96,-0.34,0.93,0.97,0.39,1,0.61,0.29,0.67,0.99,1,-0.72,0.22,1,0.98,1,1,0.99,1,1,0.98,1,0.98,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,0.91,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2_P1-60-8",0.89,0.37,0.74,0.14,0.84,0.77,-0.16,0.89,-0.58,0,0.12,0.86,-0.66,-0.93,0.92,0.98,0.86,1,0.85,0.36,0.98,0.99,0.9,1,0.82,0.57,1,0.82,0.96,0.89,0.8,0.28,0.3,0.56,0.92,0.9,-0.38,-0.54,-0.26,0.66,-0.48,0.28,0.53,0.91,0.16,0.93,-0.45,-0.2,0.23,0.88,0.97,0.36,0.25,1,0.96,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,0.97,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99
