"","296-100-3","296-20-3","296-60-3","298-20-3","298-200-3","300-100-3","300-20-3","300-200-3","300-40-3","300-60-3","302-100-3","302-20-3","302-60-3","304-100-3","304-20-3","304-40-3","304-70-3","306-100-3","306-20-3","306-200-3","306-40-3","306-60-3","311-20-3","311-40-3","312-20-3","312-200-3","314-20-3","314-60-3","314-95-3","315-20-3","315-65-3","317-100-3","317-20-3","317-40-3","317-60-3","319-100-3","319-20-3","319-40-3","319-60-3","320-100-3","320-20-3","320-200-3","320-40-3","321-200-3","321-40-3","321-60-3","323-100-3","323-200-3","328-100-3","328-20-3","328-200-3","328-40-3","328-60-3","329-100-3","329-20-3","329-200-3","329-40-3","329-60-3"
"296-100-3",0,-1,-1,-0.18,-0.49,1,0.94,1,0.8,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,0.78,0.99,1,1,1,1,1,0.78,1,0.89,1,1,1,1,0.99,0.71,1,0.78,0.98,0.79,0.36,0.92,0.39,0.02
"296-20-3",-1,0,-1,-0.24,0.29,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.52,1,0.62,0.94,0.73,-0.02,0.99,0.17,-0.18
"296-60-3",-1,-1,0,-0.16,-0.41,1,0.95,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,0.74,1,0.96,1,1,1,1,1,0.56,1,0.75,0.93,0.69,0.2,0.97,0.32,0.03
"298-20-3",-0.18,-0.24,-0.16,0,0.93,1,1,0.95,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,1,1,0.99,1,0.99,1,1,1,1,1,0.99,-0.6,1,0.02,0.66,0.61,-0.99,0.99,-0.97,-0.53
"298-200-3",-0.49,0.29,-0.41,0.93,0,1,-0.25,1,0.96,0.99,0.99,1,1,1,1,1,0.9,0.97,0.99,-0.02,1,1,1,1,1,0.05,1,1,1,1,1,0.99,1,0.99,0.54,0.8,1,1,0.98,0.99,1,-0.26,1,0.51,0.99,1,1,0.89,1,1,0.88,1,1,1,1,0.67,1,1
"300-100-3",1,1,1,1,1,0,1,-0.99,0.76,-1,1,-1,-0.48,-0.24,-1,-1,1,1,-0.87,1,-0.93,-0.99,-0.89,-0.82,-0.87,1,-0.86,-0.85,0.98,-0.79,0.98,1,-0.96,-0.72,0.99,1,0.64,0.98,1,1,0.09,1,-0.42,1,0.73,0.06,0.88,1,1,0.9,1,0.98,0.99,1,0.99,1,1,1
"300-20-3",0.94,1,0.95,1,-0.25,1,0,1,0.98,1,0.87,1,1,1,1,1,0.46,1,1,0.28,1,1,1,1,1,-0.49,1,1,1,1,1,0.75,1,1,-0.55,0.35,1,0.98,0.77,0.75,1,-0.27,1,0.3,1,1,1,0.6,1,1,0.53,1,1,1,1,0.19,1,1
"300-200-3",1,1,1,0.95,1,-0.99,1,0,0.4,-0.98,1,-0.71,-0.31,0,-0.59,-0.61,1,1,-0.07,1,-0.23,0.16,0.06,0.26,0.04,1,0.39,0.27,1,0.42,1,1,-0.19,0.07,1,1,-0.14,0.96,1,1,-0.46,1,-0.6,1,0.15,-0.24,0.8,1,0.99,0.12,1,0.6,0.73,0.99,0.59,1,0.79,0.81
"300-40-3",0.8,0.92,0.9,0.99,0.96,0.76,0.98,0.4,0,0.14,0.5,0.95,0.58,0.83,0.98,0.98,0.91,0.78,0.97,1,0.96,0.94,1,1,1,0.99,0.99,0.99,0.82,1,0.74,1,0.98,0.91,0.42,1,0.68,0.74,1,0.98,0.93,0.98,0.72,0.99,0.84,0.73,0.63,0.94,0.84,0.79,0.95,0.87,0.95,0.92,0.93,0.88,0.96,0.94
"300-60-3",1,1,1,1,0.99,-1,1,-0.98,0.14,0,1,-0.83,-0.53,-0.19,-0.79,-0.77,1,1,-0.41,1,-0.38,-0.37,-0.25,-0.05,-0.21,1,-0.06,-0.08,0.96,0.06,0.97,1,-0.24,-0.03,0.9,1,0.61,0.93,1,1,0.26,1,-0.47,0.99,0.41,-0.06,0.75,1,0.99,0.75,1,0.88,0.97,1,0.97,0.97,0.98,0.98
