"","1_P1-100-3","1_P1-20-3","1_P1-200-3","1_P1-40-3","1_P1-60-3","2_P1-100-3","2_P1-20-3","2_P1-200-3","2_P1-40-3","2_P1-60-3","3_P1-20-3","3_P1-200-3","3_P1-40-3","3_P1-60-3","4_P1-90-3","4_P1-20-3","4_P1-100-3","4_P1-200-3","4_P1-40-3","4_P1-60-3","5_P1-20-3","3_P1-90-3","5_P1-100-3","5_P1-200-3","5_P1-40-3","5_P1-90-3","6_P1-100-3","6_P1-20-3","6_P1-200-3","6_P1-40-3","6_P1-60-3","7_P1-20-3","7_P1-40-3","7_P1-60-3","10_P1-20-3","10_P1-40-3","7_P1-105-3","7_P1-200-3","8_P1-100-3","8_P1-115-3","8_P1-20-3","8_P1-200-3","8_P1-40-3","8_P1-60-3","9_P1-100-3","9_P1-120-3","9_P1-20-3","9_P1-200-3","9_P1-40-3","9_P1-60-3","10_P1-100-3","10_P1-120-3","10_P1-200-3","10_P1-60-3","11_P1-100-3","11_P1-20-3","11_P1-200-3","11_P1-40-3","11_P1-60-3","11_P1-70-3","12_P1-100-3","12_P1-20-3","12_P1-200-3","12_P1-40-3","12_P1-60-3","13_P1-100-3","13_P1-20-3","13_P1-200-3","13_P1-40-3","13_P1-60-3","14_P1-100-3","14_P1-20-3","14_P1-200-3","14_P1-40-3","14_P1-60-3","12_P2-100-3","12_P2-20-3","12_P2-200-3","12_P2-40-3","12_P2-60-3","15_P2-100-3","15_P2-20-3","15_P2-200-3","15_P2-40-3","15_P2-60-3","17_P2-100-3","17_P2-20-3","17_P2-200-3","17_P2-40-3","17_P2-60-3","8_P2-20-3","8_P2-200-3","8_P2-40-3","8_P2-60-3"
"1_P1-100-3",0,0.96,-0.11,1,1,0.43,1,0.9,1,1,1,0.65,1,1,1,0.98,1,1,1,0.89,1,0.74,0.89,0.99,1,0.98,0.94,0.85,0.66,0.96,1,1,1,1,1,1,0.53,0.97,1,1,1,0.98,1,0.99,0.99,0.98,1,0.98,1,0.87,1,0.99,0.98,1,0.88,1,0.96,1,0.76,0.95,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1_P1-20-3",0.96,0,0.31,-0.99,0.95,0.99,0.87,0.98,0.26,1,0.44,1,0.98,1,1,0.89,1,1,0.99,1,0.99,1,1,0.99,1,0.96,1,0.86,0.95,1,1,1,0.88,0.98,0.02,0.98,1,0.84,0.35,1,-0.37,1,0.99,0.03,0.76,0.93,-0.08,1,0.52,0.69,0.99,1,1,0.77,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,0.93,0.98,1,1,1,0.97,1,1,1,1,0.99,0.99,1,0.99,1,1,0.98
"1_P1-200-3",-0.11,0.31,0,1,1,0.99,0.99,-0.54,0.97,0.99,0.97,-0.17,0.67,0.99,0.98,0.97,0.99,0.2,0.99,0.9,0.77,0.94,0.98,0.09,0.75,0.91,0.6,0.87,-0.1,1,1,0.95,1,0.95,0.54,0.99,0.76,-0.06,0.98,0.99,0.98,0.35,0.89,0.64,1,0.9,0.97,-0.13,0.98,-0.78,0.7,1,0.31,0.97,0.91,0.81,0.23,0.98,0.61,0.95,0.98,0.98,0.99,0.95,1,1,0.92,0.71,1,0.76,0.13,0.94,0.11,0.92,0.58,1,1,0.32,1,1,0.93,1,0.63,1,0.96,1,0.96,0.85,0.99,0.99,0.99,0.98,1,1
"1_P1-40-3",1,-0.99,1,0,-0.93,0.98,-0.66,1,-0.87,-0.86,-0.84,1,-0.21,-0.54,1,0.79,1,1,0.96,0.98,0.49,0.97,1,1,0.4,0.85,1,0.88,1,0.99,1,-0.37,-0.71,-0.23,-0.74,-0.84,0.99,0.87,-0.38,0.95,-0.73,1,-0.67,-0.51,-0.05,-0.29,-0.63,1,-0.89,0.31,0.76,1,1,-0.89,1,0.56,1,0.97,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.87,1,0.9,0.89
"1_P1-60-3",1,0.95,1,-0.93,0,0.76,0.63,1,-0.17,0.82,0.07,1,0.91,0.87,0.99,0.93,1,1,0.99,0.96,0.99,0.92,0.98,1,0.98,0.98,1,0.99,1,0.94,1,0.86,0.28,0.8,0.34,0.57,0.92,0.99,0.21,0.71,-0.13,1,0.66,0.48,-0.12,0.48,0.4,1,-0.42,0.97,0.96,0.98,1,0.3,1,0.34,1,0.39,0.83,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7,1,0.16,0.93,1,1,1,0.99,1,1,1,1,1,1,0.7,1,0.39,-0.65
"2_P1-100-3",0.43,0.99,0.99,0.98,0.76,0,0.99,1,0.96,0.82,0.9,0.99,0.88,0.76,-0.14,0.89,0.33,1,1,0.38,0.94,-0.56,0.35,1,0.96,0.81,0.85,0.98,1,0.86,0.75,0.98,0.9,0.93,0.93,0.97,-0.02,0.93,0.69,0.34,0.69,0.98,0.95,0.56,0.2,-0.06,0.9,1,0.76,0.34,0.4,0.26,1,0.93,0.99,0.79,1,0.96,0.72,0.79,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99
"2_P1-20-3",1,0.87,0.99,-0.66,0.63,0.99,0,1,-1,-0.91,-0.93,1,-0.86,-0.76,1,0.25,1,1,0.91,0.97,0.46,1,0.99,1,0.22,0.76,1,0.97,1,0.78,1,-0.95,-0.79,-0.72,-0.09,-0.96,1,0.96,-0.34,0.97,-0.79,1,-0.95,-0.11,0.48,0.51,-0.71,1,-0.9,0.84,0.99,1,1,-0.83,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2_P1-200-3",0.9,0.98,-0.54,1,1,1,1,0,1,1,1,0.73,0.83,1,1,1,1,0.73,1,0.98,0.96,0.97,0.99,-0.45,0.75,0.98,0.7,1,0.57,1,1,1,1,1,0.53,1,0.88,0.79,1,1,1,0.81,1,0.97,1,0.99,1,0.7,1,0.11,0.99,1,0.91,1,0.99,1,0.95,1,0.99,1,1,1,1,1,1,1,1,0.98,1,0.99,0.89,1,-0.6,1,1,1,1,0.15,1,1,0.98,1,-0.03,1,1,1,0.96,0.94,1,1,1,1,1,1
"2_P1-40-3",1,0.26,0.97,-0.87,-0.17,0.96,-1,1,0,-0.95,-0.99,1,-0.98,-0.93,0.99,0.06,1,1,0.67,0.91,0.18,0.97,0.98,1,-0.11,0.59,1,0.74,1,0.58,1,-0.95,-0.97,-0.81,-0.57,-1,0.98,0.8,-0.73,0.89,-0.93,1,-0.99,-0.71,-0.17,-0.51,-0.91,1,-0.97,0.45,0.88,1,1,-0.93,1,0.76,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2_P1-60-3",1,1,0.99,-0.86,0.82,0.82,-0.91,1,-0.95,0,-0.71,1,0.82,0.64,1,0.89,1,1,1,0.97,1,0.99,1,1,1,0.93,1,0.96,1,0.97,1,0.97,0.79,0.88,0.97,0.69,1,1,0.67,0.96,0.38,1,0.82,0.89,0.93,0.98,0.64,1,-0.08,1,1,1,1,0.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3_P1-20-3",1,0.44,0.97,-0.84,0.07,0.9,-0.93,1,-0.99,-0.71,0,1,-1,-0.99,0.99,-0.63,1,1,0.46,0.74,-0.72,0.92,0.89,0.98,-0.61,0.04,0.99,0.82,1,0.45,0.99,-1,-0.99,-0.93,-0.75,-1,0.93,0.64,-0.94,0.81,-1,1,-1,-0.83,-0.36,-0.54,-0.97,1,-0.99,0.24,0.88,1,1,-0.94,1,0.75,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,0.99,0.99,1,0.99,1,1,1,1,1,1,1,1,1,0.99,1,1,0.99
"3_P1-200-3",0.65,1,-0.17,1,1,0.99,1,0.73,1,1,1,0,0.98,0.85,1,0.95,1,-0.93,1,0.78,1,0.8,0.85,0.57,0.99,0.92,0.84,1,-0.22,0.99,1,0.98,1,1,0.99,1,0.76,0.41,0.99,1,0.97,-0.61,1,0.87,1,0.97,0.99,0.36,0.99,0.04,1,1,0.61,1,1,1,0.88,1,0.95,1,1,1,1,1,1,1,1,1,1,1,0.87,1,0.96,1,1,1,1,0.86,1,1,0.99,1,1,1,1,1,1,0.99,1,1,1,1,1,1
"3_P1-40-3",1,0.98,0.67,-0.21,0.91,0.88,-0.86,0.83,-0.98,0.82,-1,0.98,0,-0.22,1,0.14,1,1,0.94,0.67,0.58,0.88,0.82,0.66,0.36,0.5,0.87,0.96,0.98,0.47,1,-0.44,-0.58,-0.64,-0.34,-0.45,0.83,0.7,-0.79,0.97,-0.94,1,-0.67,-0.37,0.19,0.37,-0.84,1,-0.96,0.59,1,1,1,-0.63,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,0.35,1,1,0.98,1,0.77,1,1,1,1,1,1,1,1,1,1,0.99
"3_P1-60-3",1,1,0.99,-0.54,0.87,0.76,-0.76,1,-0.93,0.64,-0.99,0.85,-0.22,0,0.97,0.26,1,1,0.97,0.03,0.93,0.61,0.53,1,0.96,0.05,0.99,0.93,0.99,0.44,1,0.25,-0.64,-0.46,0.61,-0.42,0.77,0.89,-0.92,0.9,-0.92,1,-0.31,-0.13,0.01,0.55,-0.88,1,-0.9,0.89,1,1,1,-0.87,1,1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4_P1-90-3",1,1,0.98,1,0.99,-0.14,1,1,0.99,1,0.99,1,1,0.97,0,0.59,-1,1,0.96,-0.46,0.99,-0.75,-0.92,0.97,0.99,0.74,0.55,0.87,0.99,-0.13,-0.11,0.99,0.97,0.99,1,1,-0.34,0.97,0.86,0.29,0.92,1,1,0.91,0.55,0.91,0.98,0.97,0.98,0.93,0.99,0.72,1,0.99,0.95,1,1,1,0.7,0.92,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4_P1-20-3",0.98,0.89,0.97,0.79,0.93,0.89,0.25,1,0.06,0.89,-0.63,0.95,0.14,0.26,0.59,0,0.81,0.98,-1,-0.69,-1,0.79,0.49,0.82,-1,-0.98,0.82,-0.81,0.92,-0.82,-0.78,-0.91,-0.88,-0.48,0.13,-0.27,0.57,0.77,-0.34,0,-0.65,0.94,-0.84,-0.4,0.61,0.53,-0.41,0.95,-0.44,0.28,0.86,0.95,1,0.14,0.96,0.46,0.98,0.61,0.75,0.94,1,0.83,0.99,0.67,0.79,0.95,0.92,0.97,0.97,0.97,0.85,0.99,0.89,0.99,0.98,1,0.96,0.83,0.87,0.99,0.86,0.82,0.97,0.91,0.97,1,0.98,0.96,0.92,1,0.89,1,0.89,0.84
