Cluster,OTU_ID,n,Colour,Degree
1,00713acdc5483c168999109394c7cff7,49,#FAFD7CFF,15
2,009d805acce40d8ce328cf5a91166985,129,#9632B8FF,1
2,0369ed25113dc257ea5bed8edc5bfd9d,129,#9632B8FF,28
3,068e8ccdff42b70e8c1a9888e9bb4ec8,2,#D43F3AFF,1
4,095fc9119cf3281ceeaa14bea826fc57,116,#357EBDFF,11
5,096cd2237adc50449f8ebb65ca0ffe19,167,#EEA236FF,28
6,0af462855793e68049baacdcadc4e1b1,175,#339900FF,64
5,0b06ef7f2b187bcf18d057241c1c1abe,167,#EEA236FF,19
6,0b1bfe440f3f65f8fb4fc67df90ae491,175,#339900FF,42
6,0bd2e49490c2c51a5094fef0a3ac86e7,175,#339900FF,32
2,0cc35acf7a544c913594d4cd1f3b02ec,129,#9632B8FF,1
3,0d7e7aa696e485b5e7fcef465dda8a6f,2,#D43F3AFF,1
6,0e80a784681f2dfe7b4eb664685e24bc,175,#339900FF,68
2,0e83728f7ad4609c0503c725c0ca4881,129,#9632B8FF,13
5,0e98bee086019db35e0976a5ef4f92e3,167,#EEA236FF,1
1,0ec617ef9d40af370270cb1f346942b6,49,#FAFD7CFF,1
6,0f2551eb7c43e82c8bd59d9e51a5aadf,175,#339900FF,24
5,0f68bf0d2db1ff942fd51c0843f629e4,167,#EEA236FF,22
7,0f90b77a10e5cae78cfc235d73e3baf4,48,#E762D7FF,2
8,10937812a8cd1af330124b28d002884c,16,#7e7b52,4
5,11b428edc1f71c3a20457f6708550dc8,167,#EEA236FF,11
3,11e53777cea1868be5fa000b92926f6b,3,#D43F3AFF,4
2,12342bc5a8b458024ce32abaebef3521,129,#9632B8FF,26
4,12410564eef73c3c877af2b6ea638ba2,116,#357EBDFF,14
6,1285267786486441d8e8c601f4e07b04,175,#339900FF,4
6,13464f6e80ba89bdf797b9a6508515de,175,#339900FF,17
2,13eea987393ec9079bd9805404f0d4b3,129,#9632B8FF,32
9,13fa1fc87c478ce010d6e6d9fc41681a,12,#FDAF91FF,2
2,140180901dc7e8807e3801a7f0727307,129,#9632B8FF,11
2,1401cfd6a11ecc38fc403120fd9baf85,129,#9632B8FF,35
2,155887d600fc88a24f01cd62da008cb3,129,#9632B8FF,5
4,165d53a3627c5b13dc0e4d43a9585b35,116,#357EBDFF,17
7,18715f11d0134543b6ebc1f1da700b24,48,#E762D7FF,15
6,1914aa84fc7f965e509b4302ae002c3e,175,#339900FF,20
5,1948c923ff6f3d20c3bdea3ca6c4688e,167,#EEA236FF,29
6,196e0b89de042f59673604b7f94cbf16,175,#339900FF,5
5,19941f205d2624df3b2c2ba664231414,167,#EEA236FF,3
6,19be82437bfa547714979a8520de6074,175,#339900FF,9
6,1a17ad23f1338cea01a867faf5b25e4e,175,#339900FF,38
2,1ac4b71c8262bddc28ceba53696c5819,129,#9632B8FF,9
10,1bf86fa9f8390cda767993a8b0e1caa2,77,darkgrey,13
6,1c2db6bdf83c503d1c7a4f2ff92c2e5c,175,#339900FF,15
6,1c6ab43197584732bcccd6b91506d529,175,#339900FF,2
